annotation_id	instance_id	assignment	window_a_changed	window_b_changed	requires_reannotation	window_a_sha256	window_b_sha256
WIN-014	django__django-15503	仅学生B	1	1	1	86128848a8d8f447cbfe7498aeb31c6161c13957c648e42f198ed789c8b2710e	455abcc30cfc9c4b568367b2393a00b1360abdab74163d96c15d32e0ae993572
WIN-015	pytest-dev__pytest-8399	共同标注	1	1	1	2ea9dbcfe0f288e7858f87fd4ad57395c9f594fa88734094c60398c4fa33efd1	2ea9dbcfe0f288e7858f87fd4ad57395c9f594fa88734094c60398c4fa33efd1
WIN-016	astropy__astropy-12907	仅学生A	1	1	1	023c7008210337633e131c33a25a27e8e4577755a642750f5720489b212b85d0	906030407ecc218dbdcf9a3c155ceb1ff1595a7ff63d7b6ea9b7c92e21cfd78c
WIN-017	astropy__astropy-8707	共同标注	1	1	1	c916239aea97e3b23d4386a838d19c3dc1a8ae081aba9870dec3eabab5bf11a2	09d1706d96ce8b3de3358171ce815eb0654b265ca5f4afa2e136a169f638485c
WIN-018	sympy__sympy-21930	仅学生A	1	1	1	6cd30cc0ab04a75ecf649b75b58afbe639873c985ac43e8e2c52006d30288e95	ff9d4ff1e085c151c125e7af49d156c841d1344dd6a5b58ec120e6c9c151f00b
WIN-019	django__django-13363	仅学生B	1	1	1	255d07d32f3a88157d4b2e15cc6bec89da04d35b94d3e6df0cf833582fcbde7c	349d367cc80720ca24f65024f1223ce54ae421606065f985783e5d71b86c7344
WIN-020	django__django-12713	仅学生B	1	1	1	122debbb07dee7db282813f97b5fd6c24fd970c88487d85ae2af3207ec10c6e0	93e689cacea984c5be049b09b50ce4a4eacfaf0126e80547956a2917b3218ea1
WIN-021	django__django-13449	仅学生B	1	1	1	1445afa14483ba59d045f592dc10ab7200722144cd938474779ec498f82072b2	4cd0f61fdfbc32e441f82b49b7b50b702517ba7d2935cfeb8f7a8698a2ffcdc8
WIN-022	psf__requests-5414	共同标注	1	1	1	f81687fd79e8b1fdbb6f039fe3d73ecb1c31883ef8836a96d9982167fbc59a3c	30dd30e83591ed2240d57fd0a469f26c986f9017e2143458e43fc6cedfa3cc53
WIN-023	pydata__xarray-6599	共同标注	0	1	1	51f3a86d3a9f0d111d6f465df17498399f5413acd91bc4a136e5b9e2dcb6abb3	a344e75a1581add73d5c2172f0e7834f94b152f6417e374960cd5edc419fb760
WIN-024	django__django-12308	仅学生B	1	1	1	56ce22a96804c000ee2414b102d0789f3491f6d6007717de50e3295e6db945c4	92102a6ffceef67be955d1fd12e86c351c9d8328241de24df2018be0ea7736cb
WIN-025	scikit-learn__scikit-learn-25931	仅学生A	0	1	1	2a0666e022f2303e0dbb801448cd74af6bba387ec6f9111ea58fda021dba1f2f	d3f4d23134a6b2564a23f65153baf450967277b1a605522a7bc26734dcc58e7d
WIN-026	sympy__sympy-13615	仅学生A	1	1	1	ea30df8107429ae4ef6143f1f6c5fa632feeb943e7b73e9c6868aa243e38f488	1125696fab3da787d5b86d65828ed6987e60b0a5d7712697162e43dab9fac372
WIN-027	matplotlib__matplotlib-26208	仅学生A	1	1	1	1820c85f9dc66660f486691b18f59ab16bf622e031bae0eec3922cdc4ea6fe61	5a52788ba92ece86481681f65229847ee3f0f32a0c1834cfd74fb41b2f928627
WIN-028	scikit-learn__scikit-learn-14141	共同标注	1	1	1	f50d09a3b4f6054220a9e81edc18615acf98a29afc20814eacc83ef619abe3c5	7eb6207970a813617a8ad74fda1f60e6882a004ec9dd67d325382ea161c46136
WIN-029	sphinx-doc__sphinx-7748	仅学生A	1	1	1	e2cdef9763da41d1a9c1cad792a00ed46b6d086e2e1ca68ba7eb95a7f3332d62	38b97f33bc9e28b33fbece72a172ef676c52e0aef00b862cc96bf02d184c3ff4
WIN-030	pydata__xarray-4966	共同标注	1	1	1	cd7b5c4413e6b7b1cc97f983a83fe50dcd9966f6ca34d5f68c64f1fb01716af7	2b46a2639a0dc2c38923eab30d39ac70c602e5e277caf48fc3cecb820c76e535
WIN-031	scikit-learn__scikit-learn-12973	仅学生A	0	1	1	cfe4951f5e06da02460a2991058b4bf6203b0b16752ce772aba349c5948a5b92	42fcd6ee4889c7a962ac239e79c2f58777149a532b18712849e1adf81a249214
WIN-032	sympy__sympy-17630	仅学生A	1	0	1	34a5575761df29586cafd8d26c4671d63a5d6b73b7c9bb7a95f20538aed04b11	a2ee972f41e03f2191644802aad7c77fd85bf366ad69cdabe7e4db96a50a7bf9
WIN-033	matplotlib__matplotlib-20676	共同标注	1	1	1	d4a56153b8b254517f6a24f82628006e17fd0c20e029bbc58ba437080e528982	d1c18479e7094c35137307412403aea08fac59a7908db7b431f332823a68d604
WIN-034	astropy__astropy-14539	共同标注	1	1	1	7cbb123d1eb94e30596ddf300cb90f3d8fdbde1fb850af6c0a8605904fc1676d	29c17ca0e2e97fa4d0de35dac1bcdd201f5fb3d80aa3518f5e97d327393c3b96
WIN-035	sympy__sympy-16597	仅学生B	1	1	1	ed0857b98bb3d267ee6242f96ab6c739d360eaecc0247e491b9c332936f80164	132f8bd66e6809eccebd1fd6029bf634b03c59a68f0082700b482e501459099b
WIN-036	django__django-12039	仅学生A	1	1	1	4364f06c6a20e0186e33b14424826dee9eab9db07f6e1ad80c8d2d31306ee3c2	923c1d2dab60802dd38e6845d0ed4e09069e90d8f94026064025e2d223f41743
WIN-037	django__django-13590	仅学生B	1	1	1	fb1598e8563cfb2e8349f00d132507e3272568598229a6280aa6513152d5dbe2	5c84ce7b333f88362d0721b8556913ddd4097d7d7ffb26713d132fb6e5a7437f
WIN-038	scikit-learn__scikit-learn-13142	仅学生A	1	1	1	a035f2877fbfe433b6ec20c3db72640d2214c1f2c0021c5e0c8296a0f5c9b925	e0a514086f7820d9a8e69f78ee44095b4fe028cf9abaa1be5a80004be414adae
WIN-039	matplotlib__matplotlib-24637	共同标注	1	1	1	c840a4d2bf3347a781b47f872370a05da9230359c8a05f4755dba57b2bbab593	34b67c3a76b32cea4593307302dd0f348887b508f2e9509d647090c8fb64dab9
WIN-040	django__django-15863	仅学生A	1	1	1	592f1101e62cb44ac39d00c17e8c17577eedb7089800f247f93f3ed0c20fd61c	6882e564562dae98757890a7afd0fa3cde9c9842aa031e301246bd51cf131bc3
WIN-041	pytest-dev__pytest-5840	共同标注	1	0	1	784e3f4d7a919afe3655bfc4a5e3aa6f7a9e4f7e70035345783aea69e584bccd	a228871de9f32e03a6a9619b26fb14bbc58916b25dc6e55d82d1cd939f6e3106
WIN-042	scikit-learn__scikit-learn-13496	仅学生A	1	0	1	61203b05ba362d9d7734ac7e7e87232f163045cb5a8d93d9b15e8f592ec4f78a	b5006244f66a25341b43dd00f332ef7829d7fbdf44ec2461cda1d96a13ce9d57
WIN-043	sympy__sympy-16792	仅学生B	1	1	1	25275dfdaeef9f24287a83268fe63c98726bf49d76273ca1fb31cac27d0bd653	3b4bbbb08b839204010a894fbb9ac9c75631b294036183344912f0e3f73d2f3b
WIN-044	django__django-16139	共同标注	1	1	1	dac81fed3b7dc07373ade9935d34ab804d8b4975116bcd6285fcdf085a16c7c5	b81fbbb0a35c21185a083eac87bea327a66742257033d328c8acc25472086d1e
WIN-045	sphinx-doc__sphinx-10614	共同标注	1	1	1	1091d5656eca60a3b3f6e292e691bde51c1cc9821bb1a59340e6fcaef15cbc79	d8740f54cb336d83e708bcc1d2c8adf74c0786ea027e79644691463c60e79c18
WIN-046	django__django-11433	仅学生B	0	1	1	7aa897cf8ba251c104c7bcbe04ca7313874d57ceaf416e9dbec81dcfc2c9b5bf	7b1667924571a1fe52b180cde0f21110e60a0d5b043d7d0abacc0fa884e4008a
WIN-047	django__django-9296	仅学生B	1	1	1	555193bb5c13b3d7518c8e4c457a9fe08da47e03b6a88c9955573dab800666b2	5a722d913ed49e85e0561503d4c1f46ff6031ed0a702a101a5ea80e5656a92c4
WIN-048	psf__requests-1766	共同标注	1	1	1	5b6496ae3b4becff9c2798b0a20838dd771cb46bfc58c0b651e248d29dbcd722	59d88943a0624a20a564b8acd0dc8aacc458d1d682baa899d0cd28d3723ca2ec
WIN-049	django__django-15278	仅学生B	1	1	1	5ce6712e71283d3f96ee8b8146c2575dd17ac42d6ff2e83f6736c283a450576d	d48c52ace095f8554d025543b3deba31ca18cbda3947c05c9f9ae264f4573958
WIN-050	django__django-12193	仅学生B	1	1	1	810a8173b33d76e66d2080fb06c400b0aac6a5742fda0f7f0b73fa61d4e23c77	7c3e7c8b21e068fec8b0d45eb0f66559cce78fd45a5ddc553a726e64ce772b58
WIN-051	sympy__sympy-23413	共同标注	1	1	1	c073deb7dd78f93cfdcab7b7531c33cdc977e6458fa9712929bf64aa63635031	7d87f886dcd1c38eabd8b93509bcd08d7f8830621602fa71964aa8b6aaefd046
WIN-052	django__django-15368	仅学生B	1	1	1	6a3ef3cf41e16c9260e15ece4bb59e9258befb7c44e1f570e0c4f218695f5d68	33cc01ba65359d32dc9b754db72fbb770adba5c7d96ce98e45d6a431a3e31c0d
WIN-053	pydata__xarray-6744	仅学生A	0	1	1	325e982707b290a95c21aaadd4d23553b72db45d60dbe1bdf2db9a2c3433fd08	457591c88c19855caac6de554bb9dbd000fbc3bc7b1e3324e0aa5688562b452f
WIN-054	django__django-13343	仅学生A	1	1	1	56a7b48460661705c82fc43db9385cdf051f86dd50f4fdaa1a9a5a48bea0ea8c	a52b61b56392775da3f976e28bfa5893c8cceafb9f3e8431fd5ad064b89d4285
WIN-055	pytest-dev__pytest-7571	仅学生A	1	1	1	ec723b9f8f1703a2bb0664f07027f1c9111244c2c946c21f85b9be72f77384fa	6c26000f255c57494a96743148c5a39782126efb038a36a92ebdc48451984397
WIN-056	django__django-14017	仅学生B	1	1	1	72b9613826ebfee4fed9c47206a9555e775f21c72a11f573803c5a266df1abdb	0ae025901ec2126f8eab2b024746eebca71add6a1adb543f594f7caace83a442
WIN-057	django__django-13794	仅学生B	1	1	1	c02efb5aede92cdd38f5f04cf25c649d6d821b1987cf0927fcbb96e7df69f1bc	dca8b7b721dee4e090ce87fa02a3020a2d3877ad746044245443215945384fe3
WIN-058	django__django-14999	仅学生A	1	1	1	129c24165db16b40cee12eaad0c2817e5acbd8b0cdfbf021b32c8f11c95bc39b	a6b5e283a3bf7d478739ca3e5fde8fb52c48a94369e92a438264bc7b4f25a1de
WIN-059	pylint-dev__pylint-4661	仅学生A	1	1	1	a39e7a3a54c88417fd0ca692fa2bb2fea34539ac58178d6a16fffbe0c2803b6a	8a28025ef521a07fe7bef13ce51bce6e10ac171536f57d4a70c323b7f5e4ffb3
WIN-060	django__django-13344	仅学生B	1	1	1	c1966f4d40a0fb64a13eeda889f1be05fc3b9902873fa47e50097a23381f755e	19546058cfbc7375dbd124078d05346ebe291ae8f3024d1233df741a8d43b80c
WIN-061	sphinx-doc__sphinx-10323	仅学生A	1	1	1	8b13534060319352fbebc3460b92d37507e83a31db560ae0a23a39edba3ed093	790bc0ac0abedbf7b65cf972fc64a8e705fa3232ef04f9fa7723a1919709bf8a
WIN-062	django__django-16662	仅学生B	1	1	1	898d5c23c777fbc46034210ba16870b66b71cc40e9571a0dd1cd03d411d8674a	dca59642a0b0d6f72b70141df2c857367f5750d985d86d5ee12eeac9d9e1806f
WIN-063	django__django-13346	仅学生B	1	1	1	f39243de42b469b093a6755e4b226e4451176258b9c60fd6a1fcb70a6a56bc6d	45be01fbacf251f66ac05d42050f6427524208935bf6eb9053cc35989eb61a52
WIN-064	pylint-dev__pylint-6528	共同标注	1	1	1	a7a4f6ee90b67ed88e165ce242eb15f0ac29e1944bd5ca0834ec0c4d9227c278	7dc82fa6a8d8440688eae9e4923867f85358a18c511f888f2bb2fe849d5a6ac3
WIN-065	scikit-learn__scikit-learn-14983	仅学生A	1	1	1	d0d93ca2d403e6e4d2ba924e46ae370a60888ac528f3b18e8938dfb6d59d4480	d0816bd9c30c9c9c97c1e5e083aca4c4079c76778e3fb7e58c1ac46571d012f9
WIN-066	sphinx-doc__sphinx-8056	仅学生A	1	1	1	06387b3f0938f915cb2a5319614c9350b0303c73b655f53d5c2ec3cb72c0f20b	81d6c171dafa3901a28f980971d6d916a9f9293e26c60b0f21bab3e2fef3cecc
WIN-067	django__django-16263	仅学生B	1	1	1	6d982ba9b97e4c89635820ad54f39c2ce5f9ac8407ba2923206e9d6a54983387	2759df534ba32f9fedc4b776e964a57904ea105bb4c03bf1c41d46f285e859fd
WIN-068	django__django-15499	仅学生B	1	1	1	7d1271feaa22688e355b9ea22452bab67054a6b558dc6055a59738c4a83ddcf6	763adb33ec6d24f5ba616624b30aa82b1effa95fb8d05af9a70460b83e8f49fa
WIN-069	django__django-15467	仅学生B	1	1	1	4a3747e0d3819fffd747443f596933476bc538294828079723159ae1812dd322	901b08de5760a41cc457e0b705b862170101113c9b999c95efd43def6be7decd
WIN-070	django__django-10914	仅学生A	1	1	1	b1d8d0e04e4baea6da89572b3e5e837503c7717e2334a8c4d37ca08605c5c35b	3688bf28ce1bb3a1be30d8875843d2f4980d37bc501009739d896af1300ce61a
WIN-071	django__django-16901	仅学生B	1	1	1	d5c9894a72fd05cc202108014c87022ef0a6d1e417f80d38f08567e0d423520a	070c717f38089dd258474c4620cae5080f29e94bc7d3178ec63257ef4f277f07
WIN-072	astropy__astropy-13579	仅学生A	1	0	1	514cbe1b1cf19dbc6817bc2a28bdf2d429a5104b10af03830c1c1b253039d572	4708099b49f3de529fbb6a3dd6ac9881257ebdbd2e3952821c8f10330fb59a7e
WIN-073	django__django-14007	仅学生B	1	1	1	2da8bb38175265680b1bab930dc74e16864161eef27600ae6698c19c0f89718b	4d324197322dac1f15d6ee79000fb176bef36e738b1687d2d4513b4beaf71268
WIN-074	matplotlib__matplotlib-20488	仅学生A	1	1	1	1c102e291930782c0f5427d57c57579525c2f3a1f14b27516a54a65f1bf0d4fa	73feb3848112cac3df90acdb2ab5d5cc01109b9c362c9a07536dd68fb0861191
WIN-075	sphinx-doc__sphinx-9461	仅学生A	0	1	1	997ece37c876d345ac29fddc9d39e06b99b4d265c24128d424773a155df75e96	7b775ab5697370e9c735b280b9744bb4873924812ca633ff19a6439b8e6481c8
WIN-076	matplotlib__matplotlib-24026	仅学生A	0	0	0	6128875080d82eff799349594da5cf0f024629c9d276d1bf48b72e2e9d29c31e	630523ab9e3bdc0faac03b832d2311e933f2c676cdb5af53a9fd1359e76be32a
WIN-077	django__django-12143	仅学生B	1	1	1	d1f6b6573be30afa7c0227d399aba31b560998c21e1159afca5c355aaa8ca030	d21f3320574664db15fa45c9573a76a4a75a4729c883290b6a50a289ebc77a53
WIN-078	pylint-dev__pylint-4604	共同标注	1	1	1	39774503b08e2efeafa4d3eb11057461693fd6fe1470778aaa11cc0380caba46	d9c18965d3d6e9fc56128a91adc8d06996f993d5dfd9b71cbdbd297a8b2e084a
WIN-079	django__django-12419	仅学生B	1	1	1	b523b5cfea003dfd998356a572dac7ea564da219453ff18e17e51a32163abba7	69a499a451b698867eb0fb21a288dee89984b939c45d777494a596e02bb6a9b1
WIN-080	sympy__sympy-20438	仅学生A	1	1	1	9beb57703ec7953e1de4ab23211662048fec5518006403a9dbadf12f47fc0690	6a6ab426a67d9565f03bc1a2f0fafb89d9fb20631dbc0480b2efb6f2fb949b14
