annotation_id	instance_id	assignment	method_a	source_a	window_a_sha256	exact_match_a	method_b	source_b	window_b_sha256	exact_match_b
WIN-019	django__django-13363	仅学生B	MURAL_2src	MURAL_2src	7c3802d42781638b1342b4b4076be67e639a0e8a5cc9fcea78b96ff1e65b128f	1	BM25_projection	BM25_projection	74787e095edf461ffc46c2de014f3cb2528fe8521eaec5f2efb142e145ceb743	1
WIN-020	django__django-12713	仅学生B	BM25_projection	BM25_projection	f23fc4b9c8f1142963852b1b3c1225ddf90beafa3c7bad5c45f051367be578c6	1	MURAL_2src	MURAL_2src	46c77fbedd918c4c7c9ff223b3ff3a6c4d67181fc8785bba0995cafc5e9f2724	1
WIN-021	django__django-13449	仅学生B	BM25_projection	BM25_projection	61e3a7df9a4deb737304e9f6e4792ca2f7d0b8cafe9352aa477e067c75c284c6	1	MURAL_2src	MURAL_2src	420ef6fa055d356f82102002b35b8c4582b3a677dbc300530ad802216356c0a3	1
WIN-022	psf__requests-5414	共同标注	MURAL_2src	MURAL_2src	9d5662f3a3e8fe37891055574e5508df0864ef996339c22722a8fa0ef77820f5	1	BM25_projection	BM25_projection	c852e4cfed89acf85434a79a1355286fe68e5b8de3b08aa01809afa060850fc9	1
WIN-023	pydata__xarray-6599	共同标注	BM25_projection	BM25_projection	7e50c4b14b48ccf140a4dee9f2893356fc3689d3ed63df3a367c793eaff8a123	1	MURAL_2src	MURAL_2src	4adc9fef91200008a49811110814f5e155e6d382927e0fde85b80155985c8d18	1
WIN-024	django__django-12308	仅学生B	BM25_projection	BM25_projection	7416e98e9fadd4effc71d4b386b62d0f988346aaa23bccc876f2b59e5a7d3270	1	MURAL_2src	MURAL_2src	e8c462fa6fdbe5e7d68f556c4d72a7628e1417f3fe0186d1c5da4ef941d10dd2	1
WIN-025	scikit-learn__scikit-learn-25931	仅学生A	BM25_projection	BM25_projection	f1ea02dbb5251186b13d0181747cc4c5f9f9a9d791afa82a1c9d1a47c4a6a907	1	MURAL_2src	MURAL_2src	7e1a5d13911714a787df180f2b176d947fc594265099e63c06b04d7785f86faa	1
WIN-026	sympy__sympy-13615	仅学生A	BM25_projection	BM25_projection	adfd0a76c82a033bb54de51f968f6fec2cbafee227fd58fdab11a484422c78ec	1	MURAL_2src	MURAL_2src	1b81cff962d5e1a560f3d297bdc48b49dd636ebe47ce92c8517303019bc1778b	1
WIN-027	matplotlib__matplotlib-26208	仅学生A	BM25_projection	BM25_projection	d53fc0a662021e28ba2a7c5018ea44d21e966960346f4afd7c7a0f8f60523edd	1	MURAL_2src	MURAL_2src	587f47f938b158da429052488f56291fd771b5e427ca7046994cabb76d8e0626	1
WIN-028	scikit-learn__scikit-learn-14141	共同标注	MURAL_2src	MURAL_2src	11bad182344a6f27981a47135052d704f04f1d56a1f92ac689fe15433981e227	1	BM25_projection	BM25_projection	1bee09121667f134de0bd4de721f9b2c938a30235ae096f674514e70e81dc33c	1
WIN-029	sphinx-doc__sphinx-7748	仅学生A	BM25_projection	BM25_projection	899d8e53c4b3379900eab748ac8e7f871f6c7f8766cdf817e261bb60b506d762	1	MURAL_2src	MURAL_2src	899d8e53c4b3379900eab748ac8e7f871f6c7f8766cdf817e261bb60b506d762	1
WIN-030	pydata__xarray-4966	共同标注	BM25_projection	BM25_projection	a262acec6e2b3d3b570adb4901bcf0e5c73d311e9c7cbaae70a844b34dbb1a9d	1	MURAL_2src	MURAL_2src	1f649da1a4703d5ae353c7940ea18ba97c896fa1f1d118d842c835f009177f2e	1
WIN-031	scikit-learn__scikit-learn-12973	仅学生A	BM25_projection	BM25_projection	0d5a1463d51b97984e3f1b039b45419b4a8f2f5ad3853e5be42ef92e8a2d6e7f	1	MURAL_2src	MURAL_2src	793f9bdac42642f3e7d4e0ffc7c5d4770282c6abef781e8c1882a42bc6a2e379	1
WIN-032	sympy__sympy-17630	仅学生A	MURAL_2src	MURAL_2src	d3b87894654aa04ebd737f15053b73619f7080abe7527d74aff54041f16e3610	1	BM25_projection	BM25_projection	bfb0c8d97d5670cd8d029c828fc1d891d94b3e9b4f3baa748edf2bd44780c679	1
WIN-033	matplotlib__matplotlib-20676	共同标注	BM25_projection	BM25_projection	b953418fd6acf681082df37f0416ad415d6a45c036fadca177cdb921ced63d77	1	MURAL_2src	MURAL_2src	61244dd81a12dd23ab7b1777d68e49c8c59bee7b90c20a88cad853d864dcc8ec	1
WIN-034	astropy__astropy-14539	共同标注	MURAL_2src	MURAL_2src	538507653009035f9b285078069d7a1097e0f1f0260e0ea7732b10da99d2f134	1	BM25_projection	BM25_projection	93d42ad21ddf036eb562d9b4a0ae0e001357fd811e7b8e4d6dd738db2f0098c4	1
WIN-035	sympy__sympy-16597	仅学生B	BM25_projection	BM25_projection	f9dd4f866c799694b752bdda5f34c2b38bf4d07fca1673345ff50b6e2f5204e8	1	MURAL_2src	MURAL_2src	2ef69a6b4b94bb451f362f55bf05cd8fed1b053a6f5fde2f5bcc65bc0cb2387d	1
WIN-036	django__django-12039	仅学生A	MURAL_2src	MURAL_2src	cc2a0feae112ee67fe6175e9ac349a2f36f220147484df7c1d2298b744dff9bb	1	BM25_projection	BM25_projection	5ce1fadb7c0a511e8137f450be707644d6bd521e5ab7ba337f1bef309ae5fbe1	1
WIN-037	django__django-13590	仅学生B	BM25_projection	BM25_projection	99f09de1827c21485f64ecd20ead80eb9b45914dd61957bf1ee681a9a244d426	1	MURAL_2src	MURAL_2src	eae308a171800ca90a2801d69688d625b729315faf081f4fa9acd06bd57ab22a	1
WIN-038	scikit-learn__scikit-learn-13142	仅学生A	BM25_projection	BM25_projection	6a60049b67f64ae992a6d554022765f6e3aaa5ab611d9721983cd5a18763e5ed	1	MURAL_2src	MURAL_2src	fc3e16a2f16d43332196ade6d8335cc014edd560dec4d1814212646dac56233a	1
WIN-039	matplotlib__matplotlib-24637	共同标注	BM25_projection	BM25_projection	aba2bc1a9b3e48e45994238edc1d3bae93b70d0fd0ca62d50556f6e66c778007	1	MURAL_2src	MURAL_2src	8e7b80f261bc4127a2d3effa2e38e09409eee80167578adccebe12cd96f83bad	1
WIN-040	django__django-15863	仅学生A	BM25_projection	BM25_projection	1f65b4a4faf9e8182e87b32e27a129c6d7122c278a4714c20c81a23eb9f49af7	1	MURAL_2src	MURAL_2src	cf72acf2b7432f94e5c6abaf0660fa5c07f3f5d1c0d517ef61a0d457055fac50	1
WIN-041	pytest-dev__pytest-5840	共同标注	MURAL_2src	MURAL_2src	e44edfdf6288e100eb7af105e01920dd9b734b061aa7c183b8aea6ef21d79a76	1	BM25_projection	BM25_projection	e44edfdf6288e100eb7af105e01920dd9b734b061aa7c183b8aea6ef21d79a76	1
WIN-042	scikit-learn__scikit-learn-13496	仅学生A	MURAL_2src	MURAL_2src	4c40776e5c63ad7ecb1622c4b468e616d0305adcd17c0c1fd034106bd836671a	1	BM25_projection	BM25_projection	fd33e1845e96dd07a5b7dd659598f92f3fd061bb1cc673d9f62310301944bbbd	1
WIN-043	sympy__sympy-16792	仅学生B	BM25_projection	BM25_projection	0b5a7b838704721b8f0faa05a46a5dd008b7de79fab616e9ffac8fd8dff613ef	1	MURAL_2src	MURAL_2src	66a115e520202fcae9158ab3c2c3be4c0607f98255a993d305e7582a54fc06bc	1
WIN-044	django__django-16139	共同标注	BM25_projection	BM25_projection	0a56b22d7ca06537f283c15db33905e3a39b83d17198ea6b5775dfb875e4612e	1	MURAL_2src	MURAL_2src	d9342caae27331039274cd6130b21f4d3e19a1ad81021f8c01b9a9777623f696	1
WIN-045	sphinx-doc__sphinx-10614	共同标注	MURAL_2src	MURAL_2src	f65e01e70b4c3c2105612e71d981e81e53e62c67ad4dfe2145ea2e7fd362dfb4	1	BM25_projection	BM25_projection	578e1eaa326ce8159aaf0fdaa7a08e486bc3b7cfa11f6354ba40e84fab3bcf85	1
WIN-046	django__django-11433	仅学生B	BM25_projection	BM25_projection	df10242647fac36a5458651b9db282f9446d9c3d922fbda4f70d644aa589d2d2	1	MURAL_2src	MURAL_2src	92f11a78b1f38201472200d76ec11d4092bfa36fb1fa098dcf62e4405c922114	1
WIN-047	django__django-9296	仅学生B	MURAL_2src	MURAL_2src	fc38a088e4c39d6131225e2e95d9a7f2b9ea02b8ac6f5b1799c24662d3ac9eb5	1	BM25_projection	BM25_projection	a00d75352baf5009cbe2f7217759331efebdf43d4c0018e4df232cbabe5861ac	1
WIN-048	psf__requests-1766	共同标注	BM25_projection	BM25_projection	ae1da056664c172c2b241cbf68d61c62016b1ecb8ea08dcad66f03a6ea3c5c5d	1	MURAL_2src	MURAL_2src	ae1da056664c172c2b241cbf68d61c62016b1ecb8ea08dcad66f03a6ea3c5c5d	1
WIN-049	django__django-15278	仅学生B	MURAL_2src	MURAL_2src	acbe6eb3fdf316bfd487318ed21809d345b80f9ba8d1cbe15bc37c4e2051b8de	1	BM25_projection	BM25_projection	432036e6f73285976749921d1d2e8467e42ad42ef88fbeae80775e95a20d838d	1
WIN-050	django__django-12193	仅学生B	MURAL_2src	MURAL_2src	ea41ae00448d66dd45a26ce5166d343a9ae70eae7a22d06060f74892207020e1	1	BM25_projection	BM25_projection	f0258ae9fc4b3720698f0af17214d5029c54f231295182651a2a3dcde1fe6785	1
WIN-051	sympy__sympy-23413	共同标注	BM25_projection	BM25_projection	6d78b47ed6dfa73b34098fcad8f25e74818805158bdf8b33bf75fc3911d1d0f1	1	MURAL_2src	MURAL_2src	f853e6a24f42ef512e725af363201d868604cb86349f0f5179b5af78fc812ca6	1
WIN-052	django__django-15368	仅学生B	BM25_projection	BM25_projection	3c4ee6e3e58aab8af3dadc86368746ec6dedc3d70c76d383aae3e06ebc080de8	1	MURAL_2src	MURAL_2src	bbb4a53f4c0cc8ff442af983fbd8dfb9defea2bec97121bfa8a61db6e5cd9a08	1
WIN-053	pydata__xarray-6744	仅学生A	BM25_projection	BM25_projection	fe0e56748340258ff5774f85301e3571dbc10aaf6b5cc407905ba9f2ab6a67c0	1	MURAL_2src	MURAL_2src	a52ae1e32f79f9cfc21fb0caf1b3e2ba36386d0bb5ba5ce2fd791ae00d8d60b9	1
WIN-054	django__django-13343	仅学生A	MURAL_2src	MURAL_2src	789505a02c88d95c3d5050a550a9a466a03f4462d248b7045397b529d94b5fa9	1	BM25_projection	BM25_projection	3eae125e06cfc65996aba95c1efa8219c23c3394df0ca53d94469be1abf31baf	1
WIN-055	pytest-dev__pytest-7571	仅学生A	MURAL_2src	MURAL_2src	c4f5201eca07a7ba2ee4780fa1ed49516fd155ade86449496fee320f3c5f668f	1	BM25_projection	BM25_projection	d796201ef571dfc31444ffdef4873de287b171feef2bc15f2c4c8341a22ca6ae	1
WIN-056	django__django-14017	仅学生B	MURAL_2src	MURAL_2src	cb5313ff81e0654f1f20dcd72c64f384f109af919bf173e2f30b4d4c30716425	1	BM25_projection	BM25_projection	b511c2b98563292662c5a2a551aa4285113186a9dc91f59dee400e4943e4c256	1
WIN-057	django__django-13794	仅学生B	MURAL_2src	MURAL_2src	f2c9e1de8095ace87ce17c14de4c68e4af24feaf3fdbc0dfdd4ee8b29751fa79	1	BM25_projection	BM25_projection	7debc729414d38be1195b23bb7b24ebe2f2407afa55a791a0ebfefd17d88cfcd	1
WIN-058	django__django-14999	仅学生A	BM25_projection	BM25_projection	a8e97f610fcc3872226ea01bec4e3bbd3513420e00129314f37a51f8720d3f06	1	MURAL_2src	MURAL_2src	c25bc4f59072e95edf88aea56c50e0589d06e7faf64bf50645c881372071ddd3	1
WIN-059	pylint-dev__pylint-4661	仅学生A	BM25_projection	BM25_projection	7292ee22213acc354be19b92984fce44c24c68c391ded4bd30ad4a19d9120508	1	MURAL_2src	MURAL_2src	7292ee22213acc354be19b92984fce44c24c68c391ded4bd30ad4a19d9120508	1
WIN-060	django__django-13344	仅学生B	MURAL_2src	MURAL_2src	3ee8860c420890cc6c8773193a2dcd81e0c607b0cacf42c572ac9c8dfcf9ab5e	1	BM25_projection	BM25_projection	690ee383d8caf78c7d52e45d58cc24e0a3bef5c32188282d21b7d6de54dba7d8	1
WIN-061	sphinx-doc__sphinx-10323	仅学生A	BM25_projection	BM25_projection	47f79ad5f10d96bb75a850ad94f5f50407c58ce59993399ff65da2b9a999be59	1	MURAL_2src	MURAL_2src	34b10f0fc099aa55c2767a65b3d25632da9dc5af5e7230551b3e7602cf5a5bc9	1
WIN-062	django__django-16662	仅学生B	MURAL_2src	MURAL_2src	a17d56174d1374a00078ae546fbc54fb829c60d4bb2d45336dc66809b42a557b	1	BM25_projection	BM25_projection	ccda582fa209442e8f47a7006dee8b3175846c80dd183cb757d741f4a4205860	1
WIN-063	django__django-13346	仅学生B	MURAL_2src	MURAL_2src	7aa2c62133689b7fb084999dd9382a7f3585ac239a10fa16105bb023def9f7e0	1	BM25_projection	BM25_projection	42e8b2340435cdf80a4e8292de50eaa6de270ce0a2eba6d6602cd51fe053f0c5	1
WIN-064	pylint-dev__pylint-6528	共同标注	BM25_projection	BM25_projection	f44695f9ef2e5246044d1d24cd6a383c8bc51b63eaab56dcc0d708b5f70486a1	1	MURAL_2src	MURAL_2src	646206cd0cd5db91fb236a73ccc7f76f2ce8001d398a5df900ad150119676c67	1
WIN-065	scikit-learn__scikit-learn-14983	仅学生A	BM25_projection	BM25_projection	bd5e33d8253de5b8e418e03e2c73cf70df15b62359d489250cacf665d715ab5c	1	MURAL_2src	MURAL_2src	9f50fbc8bea233229ae34d37c088a46979e4c6f5c80fe045442c443ddb5e3ea1	1
WIN-066	sphinx-doc__sphinx-8056	仅学生A	BM25_projection	BM25_projection	f01e0404c97c28837e2adb670d438e27604b255631ab465b577947b00859d147	1	MURAL_2src	MURAL_2src	21d13f8fcbd6d6d20de4d7631d50ddf54cd8b6a7790ad05724b27b51799783e7	1
WIN-067	django__django-16263	仅学生B	BM25_projection	BM25_projection	8a0a59a4bea5b8bdec004ed359a7aa6e408fdd62394f3ef44ec10e47d6f27a53	1	MURAL_2src	MURAL_2src	6180b867a06a1c1b00ff72a0dc25d679287d8a4026b52880be86d4a55d13e9e5	1
WIN-068	django__django-15499	仅学生B	BM25_projection	BM25_projection	cf90ba3c6d4639d41fec5ae26b7581e37b786d984f781ce46331140d5e238c22	1	MURAL_2src	MURAL_2src	b7b0eb15a4611faedf7981616fb4e06f93dd1350a125a9187b2bc6e15511c476	1
WIN-069	django__django-15467	仅学生B	MURAL_2src	MURAL_2src	d702d5f373ce707aa40a4efb1fe087144ca8409c4f1f488e8a923b0834dbb07c	1	BM25_projection	BM25_projection	c2f1cb5ebf5c284051fb33f757f18d5bd5673d378827ef759829dc6de150ce5c	1
WIN-070	django__django-10914	仅学生A	MURAL_2src	MURAL_2src	007e3e9d4903973edadc462356ac3bb53cf5411665b844745ba624583e0b8b4f	1	BM25_projection	BM25_projection	4832f01ef7263b2c9dc73b186fa510b0e12321df3198e6f1c9dc75aebccc1e3b	1
WIN-071	django__django-16901	仅学生B	MURAL_2src	MURAL_2src	035b1dc4b40e41c64c2ab31ca9bc3e3230cde2c544df485023731a5bf4ff9b7b	1	BM25_projection	BM25_projection	8b3d15eb700a4baef47f3a4f21b59300d3a46511d92229cdd19068e883536f2e	1
WIN-072	astropy__astropy-13579	仅学生A	MURAL_2src	MURAL_2src	626657b890755229ad6d03ff9198ae07f971815a86781cb7c882c45614472c15	1	BM25_projection	BM25_projection	fadb0bfc7f2616026f143fd9f4cdb8b91497c2a1ccbc4fd3715c25db1c1da0ea	1
WIN-073	django__django-14007	仅学生B	BM25_projection	BM25_projection	eb33c6ea37469808263d0109b4614f1e4f253282930eda24a8246f10666b3b11	1	MURAL_2src	MURAL_2src	6b5eaa8e2e55f8a82b2811d6781cc2087900d87142c8ef86bf0526ae817547a4	1
WIN-074	matplotlib__matplotlib-20488	仅学生A	BM25_projection	BM25_projection	ea9e25209bff109d8213ac5520dff9c650fa0e7864f9eed3fa588a0cf897bbf2	1	MURAL_2src	MURAL_2src	921e456e1b8def8c6133e890c5dd2cb33e0f4df65a6f06c7d284f0c4496d09ed	1
WIN-075	sphinx-doc__sphinx-9461	仅学生A	BM25_projection	BM25_projection	9ded3b19436262e9661f8a9233ccddff30f4e0b45017b1ce86675f9b98f1f0a6	1	MURAL_2src	MURAL_2src	376129610528344f49358fc6e04c5ab473291246ee65501c428055472438e75b	1
WIN-076	matplotlib__matplotlib-24026	仅学生A	MURAL_2src	MURAL_2src	48ed9c51e3c188d56a2fe6507683e2bf3c6fd065ff4097c2ea1fb9b5dc36d044	1	BM25_projection	BM25_projection	baffc7c7e3d486b2c2f5f5ae97a347bb49e4d703f7a32c046d251343881ced02	1
WIN-077	django__django-12143	仅学生B	BM25_projection	BM25_projection	f9de863d394629df56aa552d6426c2ba2d9755fd5c5f36d37f15698dd745bb71	1	MURAL_2src	MURAL_2src	8332ef1f980dbdf880504ba8bdbcdfb0fb397cfaf1af16b7e9cb15fa966dc864	1
WIN-078	pylint-dev__pylint-4604	共同标注	MURAL_2src	MURAL_2src	0b3620dd9fb7c60ccf0e129e5ae747926fea0a809ca49842459fa9dd5af1af80	1	BM25_projection	BM25_projection	0b3620dd9fb7c60ccf0e129e5ae747926fea0a809ca49842459fa9dd5af1af80	1
WIN-079	django__django-12419	仅学生B	BM25_projection	BM25_projection	6106381dc23b23900206d401556fb3f0d832a7a6d744af3655276fa67fd216dc	1	MURAL_2src	MURAL_2src	d2ae96860ced312c534fc91663b8544ce1f5184454c63bcfec2269097cb2ee63	1
WIN-080	sympy__sympy-20438	仅学生A	MURAL_2src	MURAL_2src	c7d505efccada109f537bed169ce39c35ae2d4cd25fd2d32e88d3d1f96e69753	1	BM25_projection	BM25_projection	41660970df4ebd3c7f187b585d12985bdff8b774402b0feb0a28aca8e3e50335	1
