instance_id	repository	variant	rendered_entities	source_entities	target_count	matched_target_count	source_target_coverage	source_hit	source_complete	prompt_tokens	prompt_sha256
django__django-13569	django__django	bm25	16	6	1	0	0.0	0	0	3916	dc19c42cc0e9a56b55c1d0fb054b62d7a6e40ebdd66822edc2e5cc987a8b8756
django__django-13590	django__django	bm25	20	6	1	1	1.0	1	1	3628	b3f677ca7fde39974a38ca24756dc946aa24c0cbc65f00c37c2072e92bd89013
django__django-13658	django__django	bm25	20	6	1	1	1.0	1	1	3625	a7a44078832dbd4e911383fe050003d6bf788281c6bd00ffbe4febcc8dce7740
django__django-13670	django__django	bm25	20	6	1	1	1.0	1	1	3836	089a9bd27f29fe008615bdadaa0cf36703e37c27f0099b9d9b825d5213e28ed2
django__django-13741	django__django	bm25	18	6	5	3	0.6	1	0	3451	7d615a274cb39c81789e64a90ccf196238a471e159b9d418200b1c1396088765
django__django-13786	django__django	bm25	17	6	1	1	1.0	1	1	3952	8da8c3ea8f4987c303d1c3c390f2624e4b9f3a38e17b450465de5880b8c249d3
django__django-13794	django__django	bm25	18	8	2	2	1.0	1	1	3448	adf7fbbac1545230ba6c13318e83dff89597bd06c40ccdbc23e221e6238c184b
django__django-13807	django__django	bm25	20	8	1	1	1.0	1	1	3783	bdee6287dbb26b1ca6fc5e1cf6d1e0bcc1dff7c07a5bac6905c09197c9bf3bee
django__django-13809	django__django	bm25	20	4	2	0	0.0	0	0	3529	147cf40c922670d92f4d9a4c19ef7c2aec29dabdc40ab7c8ec903a95277a554b
django__django-13810	django__django	bm25	18	6	1	1	1.0	1	1	3795	d04cc2af821c857bb62cda1cdf7fcc5a69b9fa9ef2427e90d14e7bc9ec6f0b51
django__django-13820	django__django	bm25	20	4	1	1	1.0	1	1	3653	70914ad796fc964b100d25308fbe3879c4ba35a0ce16a7724b198386e99554f8
django__django-13821	django__django	bm25	16	4	1	1	1.0	1	1	2267	5d3b33356a1a965261000176f8bcb21fdd4cf702a6e0ae93bdbcf6dfd7b36279
django__django-13837	django__django	bm25	20	8	1	1	1.0	1	1	3856	b48724ec588d5d0f4cf7cd116fc393ae43cd250aa8ef02d320a23021181b05ac
django__django-13925	django__django	bm25	18	4	1	0	0.0	0	0	3914	cb6e98e8b2d7b6a65f6bdfb7960692a19217f1bb87207165a9e1be90f0738d03
django__django-13933	django__django	bm25	20	3	1	1	1.0	1	1	3742	06a140ea80134bb01394cd2b7dcb54d0b3d0bda4e97958ae7c308c578386acb4
django__django-13964	django__django	bm25	16	6	1	0	0.0	0	0	3688	803d240d48e692c698c51ee6def04128a8c19acb0305fd70048ecc6dc9143b79
django__django-14007	django__django	bm25	18	6	1	1	1.0	1	1	3850	97862ec74fb3c2a598dee85af31453228cbb35fe8d01f0a01565eccdd05205c3
django__django-14011	django__django	bm25	14	8	2	1	0.5	1	0	3493	fdecb10f45eec962e6377809184c8e59f369345ffc58d1a1df18236d233bf2a4
django__django-14017	django__django	bm25	19	4	1	1	1.0	1	1	3840	7fc7287030a1f05034d8a909f7b3e79fd64ff9fa37dafd9e8b7d5c7333afbb62
django__django-14034	django__django	bm25	20	4	2	0	0.0	0	0	3788	bc03f19365fc06fa00453b7307b0a23fd9b86fd079de97911d74384b66bfb394
django__django-14053	django__django	bm25	20	4	2	2	1.0	1	1	3959	aae9085ec72ee349998960dddf4eb327a00e6fc4527a23097233e9a8c1b0ddc2
django__django-14089	django__django	bm25	15	7	1	0	0.0	0	0	2939	c05d1a311eaba51df74ccce14d89ffa58f28427e3798634f17ea44ab2187dff1
django__django-14122	django__django	bm25	17	6	1	1	1.0	1	1	3944	c87f7d7d7eab9c2e6d98ad81f84e6491ce67f1c1afd25ef9dc93e8f6f0ddd0a9
django__django-14140	django__django	bm25	19	6	1	1	1.0	1	1	3855	dcc64f129a22c702f0b93f6f0f6007f80ca1fd0cfcf63383affa40e704ec65ce
django__django-14155	django__django	bm25	20	6	1	0	0.0	0	0	3715	e7a088377ba36078b7ebaae3b2421092e2fd42458c6e896dd6cd6cd47b46a4f9
django__django-14170	django__django	bm25	14	7	3	0	0.0	0	0	3749	55192d4f9405b58e5cd16504d830c5760061cff58102523c7f1fa671c1e1200a
django__django-14238	django__django	bm25	20	3	1	1	1.0	1	1	3760	a4b105860e28763befb0a3b829f3fa499c8707df2cc8f590260d65a1e99a0557
django__django-14311	django__django	bm25	18	8	1	1	1.0	1	1	3600	f84ad5eaafc5a7c2ca41682fa73a3dfc9f05b2dbdd5cbad4b86b7f347a29b7a6
django__django-14315	django__django	bm25	20	8	2	1	0.5	1	0	3968	4757363386dbefb859020fcab68ed048f408834cfb35e1b301907686bf4b71b4
django__django-14349	django__django	bm25	19	4	2	2	1.0	1	1	3837	eccf6f756f24831674cde6eebebce83385b5b4eaacb53b454751d07c4ba01878
django__django-14351	django__django	bm25	17	2	1	0	0.0	0	0	3732	5dea8284bb1d4e253fde2fa4a7417547b4fdb290c10f2f561f2c5e3a74f9ab0e
django__django-14373	django__django	bm25	20	4	1	1	1.0	1	1	3630	c1592a731d820787af819e163b39637758a1443f5047e50c8b19caa30d8c69c3
django__django-14376	django__django	bm25	20	8	2	1	0.5	1	0	3999	ecc025f170b88bbf8d6877eee0227c49a026dc1588f2bd33f5f613f9ed826f5c
django__django-14404	django__django	bm25	19	8	1	1	1.0	1	1	3183	78ac3fea24405d9cc2f855832cbc57ab960d2ae14c92f3130188eca4092c630b
django__django-14434	django__django	bm25	16	8	1	1	1.0	1	1	3608	0b2922faecd986c7b77891eb0245e271e922e9a19c25fcd11218936214863aaf
django__django-14493	django__django	bm25	20	5	1	1	1.0	1	1	3575	2ff8af40cbce8c7a38681d8c38629d89b5c1e4550dd0b159bf94a58c53070da4
django__django-14500	django__django	bm25	16	8	1	1	1.0	1	1	3605	7d087de7390ab84073ade11083daa21f379ee5ebbb1742bcd6b3e9cad994294a
django__django-14534	django__django	bm25	20	4	1	1	1.0	1	1	3566	ecefbf197513d3cd0e6b79634a24552794c171f7c5b6f3299449465d1199986a
django__django-14539	django__django	bm25	17	8	1	1	1.0	1	1	3974	120c1216fddb65e7d095333ffdd0f9286082669e85cd1f5132444a82ce6d6c04
django__django-14559	django__django	bm25	20	6	1	1	1.0	1	1	3961	32656724f485bc4be8a114456a304bd7cdae7190b790a90deb0448ab16689022
django__django-14580	django__django	bm25	14	2	1	0	0.0	0	0	3725	3af04a3adccb8731e7bb0bb9ecee1ff8f04336c4f7813db2b7eccc055226c93c
django__django-14608	django__django	bm25	18	8	1	0	0.0	0	0	3534	34e3e59cff0791cab679da3e46633ae70ddd4ca59932d8ac46060ed678f02087
django__django-14631	django__django	bm25	18	8	8	4	0.5	1	0	3726	0be64f60aaa7e1f32d99905283a976bf1d5eb256ffffe5b06802f9f8a6550921
django__django-14672	django__django	bm25	20	2	1	0	0.0	0	0	3563	326fb46450d87294593a5ed5fabe4b7590d26e2fbb2b2abae1d5a26114996a0e
django__django-14725	django__django	bm25	19	6	3	1	0.3333333333333333	1	0	3119	e7d4ee91afbd2b540e79b333f2bb1ad3738daad9b9febc286ca166671ceebac4
django__django-14752	django__django	bm25	19	4	2	2	1.0	1	1	3784	f30dcd962846bede6674e6a7c1847a1d010479005ad1e398925e7fd97f358322
django__django-14765	django__django	bm25	18	8	1	1	1.0	1	1	3773	997665760789b8bc02f8d9d906237647e7c9322c6892c026f83b945ef7d828b2
django__django-14771	django__django	bm25	20	8	1	1	1.0	1	1	3694	b5eda55cd224ec3f4021e2e4173a422861f4750695c045f5069b7ced7f352f04
django__django-14787	django__django	bm25	20	8	1	0	0.0	0	0	3324	dfe0bdd8882b4c309dcf63fd2937aa2679d92c6a847cab693c5e71c63793dd8d
django__django-14792	django__django	bm25	18	8	1	1	1.0	1	1	3514	4de79bfc236eb4be6558b2e64c290a0f44bac79a9df4111ddcf29745b95bd94a
django__django-14855	django__django	bm25	18	6	1	1	1.0	1	1	3958	e08cdc9653438f14ae2a15e56e769fd0433658cb4ad9a61cf0c76a884f2b4016
django__django-14915	django__django	bm25	16	7	1	1	1.0	1	1	3548	7cf032bfabd6c941ee5c8d0ff0cd74b9911beb21554d98942b3cee45b3f65aad
django__django-14999	django__django	bm25	19	8	1	1	1.0	1	1	3203	571a028da1105a21487b88a0bf502ed1026570a6d80a3eadaecdb38c5c5f1878
django__django-15022	django__django	bm25	18	8	1	1	1.0	1	1	3858	88f90116fc61af7fe3c84a220b1a3a5702df72f2b5c186d5a4887ef501214e54
django__django-15037	django__django	bm25	19	7	1	1	1.0	1	1	3803	2930c07908509b16a6058619c306e5ce1290767c23a5916ca0b4e789e8dc1ddb
