instance_id	variant	nonempty	patch_sha256	result_rows	dataset_source	problem_statement_tokens	first_prompt_profile	context_profile_version	response_prefill	max_retries	generation_extra_body	candidate_entity_count	candidate_file_count	candidate_class_scope_count	first_prompt_rendered_entity_count	first_prompt_source_entity_count	first_prompt_tokens	retry_count	final_status	applied_file_count
django__django-11138	issue	1	4e320e01fbf32c31660b211ecce15cf38792329b507916cc17bffdf632371f86	1	temp_run/generated/SWE-bench_Verified.jsonl	894	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	9	3	0	9	4	2501	0	success	3
django__django-11141	issue	1	604d1db105397c5b5ccc100e83ceec36d6fefea2e587026d8c69825115a8dfe1	1	temp_run/generated/SWE-bench_Verified.jsonl	179	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	2	0	6	3	2169	1	success	1
django__django-11149	issue	1	48082e589b37bbfc33e6365974b1e0e81534f26392fe8bb23c24e74a77523b79	1	temp_run/generated/SWE-bench_Verified.jsonl	189	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	9	1	0	9	2	1736	0	success	1
django__django-11163	issue	1	0805c5f45ab01a16afb714b13de98f231507fc9ef8c91d7088a827bf9dc9df67	1	temp_run/generated/SWE-bench_Verified.jsonl	98	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1068	0	success	1
django__django-11179	issue	1	c4e3f65cfc8a864159bc689fd2e9d9aa032891f51444aece8b4d44127a5a3218	1	temp_run/generated/SWE-bench_Verified.jsonl	65	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	3	2	0	3	3	1931	0	success	1
django__django-11206	issue	1	d46b776da3d9060e5fba8976e148349f30c7dbdcaece42f568a3a7d9de080eb3	1	temp_run/generated/SWE-bench_Verified.jsonl	159	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1348	0	success	1
django__django-11211	issue	1	f1eff39a2390f017b054a139d2790d6c66adfbb4fa7529eee82e54fcf9902f4e	1	temp_run/generated/SWE-bench_Verified.jsonl	221	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	3	0	7	4	2045	1	success	1
django__django-11239	issue	1	c60f71c1f40fca18a19497f009744a5ef3a4d5c2ae090200f58bcdcaf0115fbe	1	temp_run/generated/SWE-bench_Verified.jsonl	275	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	2	2	2	1539	0	success	1
django__django-11265	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	1085	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	10	2	0	10	4	3352	1	failed	0
django__django-11276	issue	1	c856dcdbec4674c3cd66cd2c84b928e499cdb6eddad876a3875d35c238f8c97d	1	temp_run/generated/SWE-bench_Verified.jsonl	256	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	9	6	0	9	4	1965	0	success	2
django__django-11292	issue	1	b035c998e9bb94dbf139e98fe1ac1d35814fab5763f483f00d7bff8173968822	1	temp_run/generated/SWE-bench_Verified.jsonl	78	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	8	4	3	8	4	2526	0	success	1
django__django-11299	issue	1	809de8f411ce252d12da04f378fb5a41866f5fedb69ae60089441a1be2ddd8b0	1	temp_run/generated/SWE-bench_Verified.jsonl	751	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	1	2	2	2179	0	success	2
django__django-11333	issue	1	9f879741b613224395a0cba80e3b95477f1e8d4f73e9400c5fc6922b41f8a5f6	1	temp_run/generated/SWE-bench_Verified.jsonl	323	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	3	1	6	4	1899	0	success	1
django__django-11400	issue	1	17a88a075b7027196ece5f449b56373237ef8104feabf11cb6eaa7839b522f66	1	temp_run/generated/SWE-bench_Verified.jsonl	187	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	2	2	2	1866	1	success	1
django__django-11433	issue	1	f6dc5fcc4d5aa80f0524de0562b14c45e8c80d993f585516fc733cfda2f43fb6	1	temp_run/generated/SWE-bench_Verified.jsonl	137	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	8	3	0	8	4	2252	0	success	1
django__django-11451	issue	1	413609e837cccfcb59d26526dbdcc3837cb435bf7ced5eb5e86ba23a48c3da09	1	temp_run/generated/SWE-bench_Verified.jsonl	444	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	1	1	1	1607	0	success	1
django__django-11477	issue	1	7ae59f05a82e483221e741ede8c90c01a759764e687b1db22aab373f5b6025c4	1	temp_run/generated/SWE-bench_Verified.jsonl	48	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	2	1	6	4	1905	0	success	1
django__django-11490	issue	1	24f64ccf695f6ae30ab111121778f45b8a7a91225f26b1f63dd5abe7083e16b3	1	temp_run/generated/SWE-bench_Verified.jsonl	126	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	9	3	1	9	4	2651	0	success	1
django__django-11532	issue	1	0e35decd95ca2c4b8c3ad8ef1616c06a2894567418711034223d98bcc8c07a8b	1	temp_run/generated/SWE-bench_Verified.jsonl	677	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	1	2	4	2	2185	0	success	1
django__django-11551	issue	1	1d28fed65b53b6e91cf22c8d91ac00b11472335e221247e56fdc222cc4891b3b	1	temp_run/generated/SWE-bench_Verified.jsonl	1212	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	0	2	2	2413	1	success	1
django__django-11555	issue	1	35b3e683b41f898075692b59522c62243ab578f60ca5c71fc34542374bab6919	1	temp_run/generated/SWE-bench_Verified.jsonl	165	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	4	0	5	4	2181	0	success	1
django__django-11603	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	82	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	772	0	failed	0
django__django-11728	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	116	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	807	0	failed	0
django__django-11734	issue	1	6fc2eac31faab5b4917b6521fa539166b3b9decf5f6983105a98b57c981c6dd8	1	temp_run/generated/SWE-bench_Verified.jsonl	228	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	8	4	2	8	4	2941	1	success	1
django__django-11740	issue	1	b1e0a29a06961e3347a2d9caf537a9f2504ce1fe8bf4165025607e9c92ae382b	1	temp_run/generated/SWE-bench_Verified.jsonl	492	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	3	2	7	4	2797	1	success	1
django__django-11749	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	277	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	0	2	2	1663	1	failed	0
django__django-11790	issue	1	179d11b2f3380e379696142ba6743a027b5debc341c9e8e300f1760f59a9b5f7	1	temp_run/generated/SWE-bench_Verified.jsonl	115	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	4	5	6	4	2402	0	success	1
django__django-11815	issue	1	755ffa2d582abb96af876fcd8c3160fe947ccf518c0ea75b76b4f4ce9eaeaed0	1	temp_run/generated/SWE-bench_Verified.jsonl	359	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	1	1	1	1234	0	success	1
django__django-11820	issue	1	6399a33322a48120ec37bbafb96ec11e69d22c970f05f4e4861c14ffe9d19770	1	temp_run/generated/SWE-bench_Verified.jsonl	102	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	4	0	5	4	2069	0	success	1
django__django-11848	issue	1	eb9d00e798edaeda290d3e37fc4d993e784cdbb84f4ffece1b6f231df844d08c	1	temp_run/generated/SWE-bench_Verified.jsonl	159	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1257	0	success	1
django__django-11880	issue	1	c60490670e46fccfbb999463b48048c4856d4081da4503a1c7081985fac4fb2e	1	temp_run/generated/SWE-bench_Verified.jsonl	265	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	955	0	success	1
django__django-11885	issue	1	d5b80a9cf12eecae5074269543317fa70e62314942ecbb6ac5c35c39540fb297	1	temp_run/generated/SWE-bench_Verified.jsonl	297	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	4	1	7	4	2694	1	success	1
django__django-11951	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	155	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	845	0	failed	0
django__django-11964	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	518	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	1208	0	failed	0
django__django-11999	issue	1	b6d4392454cb780bcd850e426cea18cf516ac8cf504ac64419b818b2a3b4d035	1	temp_run/generated/SWE-bench_Verified.jsonl	148	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	3	2	0	3	3	1615	1	success	1
django__django-12039	issue	1	0c0aa50350be1f4571ed73105490e9cd513fad3c2276d64ab424ccb9bdce404a	1	temp_run/generated/SWE-bench_Verified.jsonl	292	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	2	5	5	3	1966	0	success	1
django__django-12050	issue	1	46f267d8586aa293f1253351add9644a5710c27ea23f7403382c0172b141ac70	1	temp_run/generated/SWE-bench_Verified.jsonl	70	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	4	1	4	4	1899	0	success	1
django__django-12125	issue	1	1363fc5a4a7adb37b8e56537d4213c275e906625d50693fa33f05e4b98a4fd77	1	temp_run/generated/SWE-bench_Verified.jsonl	367	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	8	5	6	8	4	2299	0	success	1
django__django-12143	issue	1	7648aaeec1b8045a2d1f6c738f4fd7b0f2d2514d549d09f14d439317de068e04	1	temp_run/generated/SWE-bench_Verified.jsonl	349	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1204	1	success	1
django__django-12155	issue	1	3605a23a4bb9b03da256ed0669b2df7d4190baeed241cfdb1ee96108baaf4ba2	1	temp_run/generated/SWE-bench_Verified.jsonl	183	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1116	1	success	1
django__django-12193	issue	1	6ab4d4eb67b2298c86562a5e9d6aa44488fae423ef91bce8c6135314db304fa7	1	temp_run/generated/SWE-bench_Verified.jsonl	158	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	2	5	5	4	2395	1	success	1
django__django-12209	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	270	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	960	0	failed	0
django__django-12262	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	231	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	1	4	4	2	1917	1	failed	0
django__django-12273	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	226	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	1	0	7	2	2096	1	failed	0
django__django-12276	issue	1	e809b666103b156ba4436fce0067845221358ea20b9b0cb9f8e425573583f7c3	1	temp_run/generated/SWE-bench_Verified.jsonl	149	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	2	2	2	1894	0	success	1
django__django-12304	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	125	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	815	0	failed	0
django__django-12308	issue	1	464ac04850f4c159eca57ca0c0cb2c4b4f1db279f326bdc66f97e047fbb89205	1	temp_run/generated/SWE-bench_Verified.jsonl	101	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	4	2	6	4	2146	0	success	1
django__django-12325	issue	1	08cc1a60588bb267ad83ac21bddfddb0e6d1e835ba3045f87e0d60e4a9dc90ed	1	temp_run/generated/SWE-bench_Verified.jsonl	194	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	3	1	6	4	2813	0	success	1
django__django-12406	issue	1	3ab8695841927a20a577c1066072b9d34c0e89ca0916b80e5005566e9deaf916	1	temp_run/generated/SWE-bench_Verified.jsonl	269	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	10	3	10	10	4	2713	1	success	1
django__django-12419	issue	1	b1945d47dc909236a1c3e9d72117dea839c14baeca2e201bb025177b79346aff	1	temp_run/generated/SWE-bench_Verified.jsonl	159	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	3	2	3	3	2	1843	0	success	1
django__django-12663	issue	1	335f73d88862a7fe0bb0c8dd8e121dbd672551fa108c00182d9578b2c0c4a3f4	1	temp_run/generated/SWE-bench_Verified.jsonl	752	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	3	3	1	3	3	2263	0	success	1
django__django-12708	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	238	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	3	1	6	4	2147	1	failed	0
django__django-12713	issue	1	e101afed5898b572a624c343f777f439da6e28becdf88e95b9f84d8bb289e61b	1	temp_run/generated/SWE-bench_Verified.jsonl	64	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	1	4	3	1931	0	success	1
django__django-12741	issue	1	508e95b9a470f5828e0948e44c71f3249342eb2aae6b1411438117e3c6f63eb2	1	temp_run/generated/SWE-bench_Verified.jsonl	82	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	1	2	2	1286	0	success	2
django__django-12754	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	188	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	8	3	1	8	4	2296	1	failed	0
django__django-12774	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	287	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	977	0	failed	0
django__django-12858	issue	1	c39756e80c9534412d615274b2e2d50fe554f51e56b56412ef8e6a33f5a2439c	1	temp_run/generated/SWE-bench_Verified.jsonl	217	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	4	0	6	4	2480	0	success	1
django__django-12965	issue	1	74213e72018cce4b6298b8c9dade07c98087e41b612e563b50e22043a055f650	1	temp_run/generated/SWE-bench_Verified.jsonl	676	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	4	2	6	4	3122	1	success	1
django__django-13012	issue	1	498f0adb4dfbe877abc1a225192f6db8ba43f67bccf2af617d777064aade7d9e	1	temp_run/generated/SWE-bench_Verified.jsonl	335	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	3	2	7	4	2262	0	success	1
django__django-13023	issue	1	e2d58ea9d83c0dd2730cebd8ad2cdf0acd85218afd4dbb41d6a44771b64c4483	1	temp_run/generated/SWE-bench_Verified.jsonl	119	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	1	2	2	1449	0	success	2
django__django-13028	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	694	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	0	2	2	1937	1	failed	0
django__django-13033	issue	1	723dabd5b1e08457fa7de605b0f0e2fc9d41c4a6f96872417ae148ad62bd10ab	1	temp_run/generated/SWE-bench_Verified.jsonl	1054	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	8	4	0	8	4	3349	1	success	1
django__django-13089	issue	1	94639cbc3b8dbc7ba65f97db65225b4e5a614e73c2ba2a86122bef0ed7f635e7	1	temp_run/generated/SWE-bench_Verified.jsonl	407	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1371	0	success	1
django__django-13109	issue	1	476837b301e4e71506b12840c7ba2c43944630f1a1800c05df7a7d11181e8258	1	temp_run/generated/SWE-bench_Verified.jsonl	417	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1380	0	success	1
django__django-13112	issue	1	794a9aff622e3c6fecae237826a5050091de73abf3886015a7fc8a59aaed8222	1	temp_run/generated/SWE-bench_Verified.jsonl	474	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	10	6	2	10	4	3311	0	success	1
django__django-13121	issue	1	9d189f6d2e92cde56f6f6a25f188de9522c1973f2f33afbce907bbb17445e41e	1	temp_run/generated/SWE-bench_Verified.jsonl	295	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	4	1	7	4	2068	1	success	2
django__django-13128	issue	1	9f0184d7c46a1119b869e3afc178a496ccc41c5fbbfcdb7518a599da22e4e070	1	temp_run/generated/SWE-bench_Verified.jsonl	89	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	6	1	4	6	2	1743	0	success	1
django__django-13158	issue	1	a6b09a9e73ccd838dc9c84b1ec4a90b47b65ca82afdc47dc131c446d48032764	1	temp_run/generated/SWE-bench_Verified.jsonl	262	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	10	5	4	10	4	2342	0	success	1
django__django-13195	issue	1	4e6db0ea02cbe701f2621197247e31c8c6055855a9bc2468e6fbdff8c8e99fb1	1	temp_run/generated/SWE-bench_Verified.jsonl	564	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1458	0	success	1
django__django-13212	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	97	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	1	2	2	1768	1	failed	0
django__django-13279	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	117	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	2	2	5	3	1397	1	failed	0
