approach	instance_id	repository	candidate_count	target_count	matched_target_count	first_rank	file_hit	target_coverage	hit	mrr	complete
MURAL	pydata__xarray-6599	pydata__xarray	20	1	0	0	1	0.0	0	0.0	0
BM25-local	django__django-12308	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-12308	django__django	20	1	1	3	1	1.0	1	0.3333333333333333	1
BM25-local	scikit-learn__scikit-learn-25931	scikit-learn__scikit-learn	20	3	0	0	0	0.0	0	0.0	0
MURAL	scikit-learn__scikit-learn-25931	scikit-learn__scikit-learn	20	3	2	2	1	0.6666666666666666	1	0.5	0
BM25-local	sympy__sympy-13615	sympy__sympy	20	1	0	0	0	0.0	0	0.0	0
MURAL	sympy__sympy-13615	sympy__sympy	20	1	1	3	1	1.0	1	0.3333333333333333	1
BM25-local	matplotlib__matplotlib-26208	matplotlib__matplotlib	20	2	0	0	1	0.0	0	0.0	0
MURAL	matplotlib__matplotlib-26208	matplotlib__matplotlib	20	2	1	6	1	0.5	1	0.16666666666666666	0
BM25-local	scikit-learn__scikit-learn-14141	scikit-learn__scikit-learn	20	1	1	2	1	1.0	1	0.5	1
MURAL	scikit-learn__scikit-learn-14141	scikit-learn__scikit-learn	20	1	1	3	1	1.0	1	0.3333333333333333	1
BM25-local	sphinx-doc__sphinx-7748	sphinx-doc__sphinx	20	5	4	1	1	0.8	1	1.0	0
MURAL	sphinx-doc__sphinx-7748	sphinx-doc__sphinx	20	5	4	1	1	0.8	1	1.0	0
BM25-local	pydata__xarray-4966	pydata__xarray	20	1	0	0	0	0.0	0	0.0	0
MURAL	pydata__xarray-4966	pydata__xarray	20	1	1	3	1	1.0	1	0.3333333333333333	1
BM25-local	scikit-learn__scikit-learn-12973	scikit-learn__scikit-learn	20	1	0	0	0	0.0	0	0.0	0
MURAL	scikit-learn__scikit-learn-12973	scikit-learn__scikit-learn	20	1	1	13	1	1.0	1	0.07692307692307693	1
BM25-local	sympy__sympy-17630	sympy__sympy	20	1	0	0	0	0.0	0	0.0	0
MURAL	sympy__sympy-17630	sympy__sympy	20	1	0	0	0	0.0	0	0.0	0
BM25-local	matplotlib__matplotlib-20676	matplotlib__matplotlib	20	1	0	0	1	0.0	0	0.0	0
MURAL	matplotlib__matplotlib-20676	matplotlib__matplotlib	20	1	1	20	1	1.0	1	0.05	1
BM25-local	astropy__astropy-14539	astropy__astropy	20	1	0	0	1	0.0	0	0.0	0
MURAL	astropy__astropy-14539	astropy__astropy	20	1	1	18	1	1.0	1	0.05555555555555555	1
BM25-local	sympy__sympy-16597	sympy__sympy	20	8	1	10	1	0.125	1	0.1	0
MURAL	sympy__sympy-16597	sympy__sympy	20	8	1	19	1	0.125	1	0.05263157894736842	0
BM25-local	django__django-12039	django__django	20	2	0	0	1	0.0	0	0.0	0
MURAL	django__django-12039	django__django	20	2	1	11	1	0.5	1	0.09090909090909091	0
BM25-local	django__django-13590	django__django	20	1	0	0	1	0.0	0	0.0	0
MURAL	django__django-13590	django__django	20	1	1	10	1	1.0	1	0.1	1
BM25-local	scikit-learn__scikit-learn-13142	scikit-learn__scikit-learn	20	1	0	0	0	0.0	0	0.0	0
MURAL	scikit-learn__scikit-learn-13142	scikit-learn__scikit-learn	20	1	0	0	1	0.0	0	0.0	0
BM25-local	matplotlib__matplotlib-24637	matplotlib__matplotlib	20	2	2	3	1	1.0	1	0.3333333333333333	1
MURAL	matplotlib__matplotlib-24637	matplotlib__matplotlib	20	2	2	3	1	1.0	1	0.3333333333333333	1
BM25-local	django__django-15863	django__django	20	1	1	6	1	1.0	1	0.16666666666666666	1
MURAL	django__django-15863	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25-local	pytest-dev__pytest-5840	pytest-dev__pytest	20	6	0	0	0	0.0	0	0.0	0
MURAL	pytest-dev__pytest-5840	pytest-dev__pytest	20	6	0	0	0	0.0	0	0.0	0
BM25-local	scikit-learn__scikit-learn-13496	scikit-learn__scikit-learn	20	2	0	0	0	0.0	0	0.0	0
MURAL	scikit-learn__scikit-learn-13496	scikit-learn__scikit-learn	20	2	0	0	0	0.0	0	0.0	0
BM25-local	sympy__sympy-16792	sympy__sympy	20	1	1	5	1	1.0	1	0.2	1
MURAL	sympy__sympy-16792	sympy__sympy	20	1	0	0	0	0.0	0	0.0	0
BM25-local	django__django-16139	django__django	20	1	0	0	1	0.0	0	0.0	0
MURAL	django__django-16139	django__django	20	1	1	19	1	1.0	1	0.05263157894736842	1
BM25-local	sphinx-doc__sphinx-10614	sphinx-doc__sphinx	20	1	0	0	0	0.0	0	0.0	0
MURAL	sphinx-doc__sphinx-10614	sphinx-doc__sphinx	20	1	1	7	1	1.0	1	0.14285714285714285	1
BM25-local	django__django-11433	django__django	20	1	0	0	1	0.0	0	0.0	0
MURAL	django__django-11433	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25-local	django__django-9296	django__django	20	1	1	13	1	1.0	1	0.07692307692307693	1
MURAL	django__django-9296	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25-local	psf__requests-1766	psf__requests	20	1	0	0	0	0.0	0	0.0	0
MURAL	psf__requests-1766	psf__requests	20	1	0	0	0	0.0	0	0.0	0
BM25-local	django__django-15278	django__django	20	1	1	12	1	1.0	1	0.08333333333333333	1
MURAL	django__django-15278	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25-local	django__django-12193	django__django	20	1	0	0	1	0.0	0	0.0	0
MURAL	django__django-12193	django__django	20	1	1	10	1	1.0	1	0.1	1
BM25-local	sympy__sympy-23413	sympy__sympy	20	1	0	0	0	0.0	0	0.0	0
MURAL	sympy__sympy-23413	sympy__sympy	20	1	1	3	1	1.0	1	0.3333333333333333	1
BM25-local	django__django-15368	django__django	20	2	2	1	1	1.0	1	1.0	1
MURAL	django__django-15368	django__django	20	2	2	1	1	1.0	1	1.0	1
BM25-local	pydata__xarray-6744	pydata__xarray	20	1	1	10	1	1.0	1	0.1	1
MURAL	pydata__xarray-6744	pydata__xarray	20	1	1	10	1	1.0	1	0.1	1
BM25-local	django__django-13343	django__django	20	2	0	0	0	0.0	0	0.0	0
MURAL	django__django-13343	django__django	20	2	2	10	1	1.0	1	0.1	1
BM25-local	pytest-dev__pytest-7571	pytest-dev__pytest	20	3	0	0	1	0.0	0	0.0	0
MURAL	pytest-dev__pytest-7571	pytest-dev__pytest	20	3	0	0	1	0.0	0	0.0	0
BM25-local	django__django-14017	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-14017	django__django	20	1	1	20	1	1.0	1	0.05	1
BM25-local	django__django-13794	django__django	20	2	1	18	1	0.5	1	0.05555555555555555	0
MURAL	django__django-13794	django__django	20	2	2	1	1	1.0	1	1.0	1
BM25-local	django__django-14999	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-14999	django__django	20	1	1	4	1	1.0	1	0.25	1
BM25-local	pylint-dev__pylint-4661	pylint-dev__pylint	20	2	1	5	1	0.5	1	0.2	0
MURAL	pylint-dev__pylint-4661	pylint-dev__pylint	20	2	1	5	1	0.5	1	0.2	0
BM25-local	django__django-13344	django__django	20	5	0	0	0	0.0	0	0.0	0
MURAL	django__django-13344	django__django	20	5	1	13	1	0.2	1	0.07692307692307693	0
BM25-local	sphinx-doc__sphinx-10323	sphinx-doc__sphinx	20	1	1	15	1	1.0	1	0.06666666666666667	1
MURAL	sphinx-doc__sphinx-10323	sphinx-doc__sphinx	20	1	0	0	1	0.0	0	0.0	0
BM25-local	django__django-16662	django__django	20	1	0	0	1	0.0	0	0.0	0
MURAL	django__django-16662	django__django	20	1	1	4	1	1.0	1	0.25	1
BM25-local	django__django-13346	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-13346	django__django	20	1	1	2	1	1.0	1	0.5	1
BM25-local	pylint-dev__pylint-6528	pylint-dev__pylint	20	4	1	15	1	0.25	1	0.06666666666666667	0
MURAL	pylint-dev__pylint-6528	pylint-dev__pylint	20	4	0	0	0	0.0	0	0.0	0
BM25-local	scikit-learn__scikit-learn-14983	scikit-learn__scikit-learn	20	2	1	1	1	0.5	1	1.0	0
MURAL	scikit-learn__scikit-learn-14983	scikit-learn__scikit-learn	20	2	2	1	1	1.0	1	1.0	1
BM25-local	sphinx-doc__sphinx-8056	sphinx-doc__sphinx	20	2	0	0	0	0.0	0	0.0	0
MURAL	sphinx-doc__sphinx-8056	sphinx-doc__sphinx	20	2	1	5	1	0.5	1	0.2	0
BM25-local	django__django-16263	django__django	20	8	1	14	1	0.125	1	0.07142857142857142	0
MURAL	django__django-16263	django__django	20	8	0	0	0	0.0	0	0.0	0
BM25-local	django__django-15499	django__django	20	1	0	0	1	0.0	0	0.0	0
MURAL	django__django-15499	django__django	20	1	1	14	1	1.0	1	0.07142857142857142	1
BM25-local	django__django-15467	django__django	20	1	0	0	1	0.0	0	0.0	0
MURAL	django__django-15467	django__django	20	1	1	16	1	1.0	1	0.0625	1
BM25-local	django__django-10914	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-10914	django__django	20	1	1	9	1	1.0	1	0.1111111111111111	1
BM25-local	django__django-16901	django__django	20	2	1	9	1	0.5	1	0.1111111111111111	0
MURAL	django__django-16901	django__django	20	2	2	2	1	1.0	1	0.5	1
BM25-local	astropy__astropy-13579	astropy__astropy	20	1	0	0	0	0.0	0	0.0	0
MURAL	astropy__astropy-13579	astropy__astropy	20	1	1	8	1	1.0	1	0.125	1
BM25-local	django__django-14007	django__django	20	1	1	12	1	1.0	1	0.08333333333333333	1
MURAL	django__django-14007	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25-local	matplotlib__matplotlib-20488	matplotlib__matplotlib	20	1	0	0	1	0.0	0	0.0	0
MURAL	matplotlib__matplotlib-20488	matplotlib__matplotlib	20	1	0	0	1	0.0	0	0.0	0
BM25-local	sphinx-doc__sphinx-9461	sphinx-doc__sphinx	20	8	2	1	1	0.25	1	1.0	0
MURAL	sphinx-doc__sphinx-9461	sphinx-doc__sphinx	20	8	1	1	1	0.125	1	1.0	0
BM25-local	matplotlib__matplotlib-24026	matplotlib__matplotlib	20	2	2	4	1	1.0	1	0.25	1
MURAL	matplotlib__matplotlib-24026	matplotlib__matplotlib	20	2	0	0	0	0.0	0	0.0	0
BM25-local	django__django-12143	django__django	20	1	1	11	1	1.0	1	0.09090909090909091	1
MURAL	django__django-12143	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25-local	pylint-dev__pylint-4604	pylint-dev__pylint	20	2	0	0	1	0.0	0	0.0	0
MURAL	pylint-dev__pylint-4604	pylint-dev__pylint	20	2	0	0	1	0.0	0	0.0	0
BM25-local	django__django-12419	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-12419	django__django	20	1	1	4	1	1.0	1	0.25	1
BM25-local	sympy__sympy-20438	sympy__sympy	20	6	0	0	1	0.0	0	0.0	0
MURAL	sympy__sympy-20438	sympy__sympy	20	6	2	5	1	0.3333333333333333	1	0.2	0
