instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities	changed_lines_covered	changed_lines_total	complete_changed_lines	file_hit	entity_recall	mrr	hit
django__django-11119	BM25_projection	2000	50	10	1681	0.8405	122.9	2	1	2	0	1	1.0	1.0	1
django__django-11133	BM25_projection	2000	50	8	1803	0.9015	287.875	1	0	2	0	1	0.0	0.0	0
django__django-11138	BM25_projection	2000	50	9	1977	0.9885	151.44444444444446	1	0	43	0	1	0.0	0.0	0
django__django-11141	BM25_projection	2000	50	11	1986	0.993	184.45454545454547	4	0	7	0	1	1.0	0.1	1
django__django-11149	BM25_projection	2000	50	9	1989	0.9945	154.88888888888889	2	12	31	0	1	0.2	0.2	1
django__django-11163	BM25_projection	2000	50	9	1889	0.9445	279.44444444444446	3	2	2	1	1	1.0	1.0	1
django__django-11179	BM25_projection	2000	50	6	1965	0.9825	535.5	2	0	1	0	0	0.0	0.0	0
django__django-11206	BM25_projection	2000	50	7	1913	0.9565	239.85714285714286	1	0	1	0	1	1.0	1.0	1
django__django-11211	BM25_projection	2000	50	7	1967	0.9835	793.4285714285714	3	0	1	0	0	0.0	0.0	0
django__django-11239	BM25_projection	2000	50	12	1970	0.985	134.25	2	2	2	1	1	1.0	0.1111111111111111	1
django__django-11265	BM25_projection	2000	50	8	1865	0.9325	342.75	2	0	5	0	1	0.0	0.0	0
django__django-11276	BM25_projection	2000	50	10	1852	0.926	224.0	2	8	26	0	1	1.0	1.0	1
django__django-11292	BM25_projection	2000	50	13	1737	0.8685	92.15384615384616	1	1	7	0	1	0.25	1.0	1
django__django-11299	BM25_projection	2000	50	20	1953	0.9765	29.95	0	0	2	0	0	0.0	0.0	0
django__django-11333	BM25_projection	2000	50	8	1909	0.9545	246.25	2	1	6	0	1	0.5	0.5	1
django__django-11400	BM25_projection	2000	50	12	1871	0.9355	104.91666666666667	1	6	14	0	1	0.5	1.0	1
django__django-11433	BM25_projection	2000	50	10	1807	0.9035	177.5	4	0	3	0	0	0.0	0.0	0
django__django-11451	BM25_projection	2000	50	11	1916	0.958	123.9090909090909	1	1	1	1	1	1.0	0.5	1
django__django-11477	BM25_projection	2000	50	7	1739	0.8695	302.7142857142857	2	0	2	0	1	0.0	0.0	0
django__django-11490	BM25_projection	2000	50	12	1843	0.9215	99.83333333333333	0	0	1	0	0	0.0	0.0	0
django__django-11532	BM25_projection	2000	50	13	1979	0.9895	126.76923076923077	3	6	21	0	1	0.16666666666666666	0.5	1
django__django-11551	BM25_projection	2000	50	8	1931	0.9655	217.875	2	0	26	0	1	0.0	0.0	0
django__django-11555	BM25_projection	2000	50	19	1855	0.9275	41.0	0	0	1	0	0	0.0	0.0	0
django__django-11603	BM25_projection	2000	50	20	1949	0.9745	39.8	0	0	2	0	1	1.0	0.2	1
django__django-11728	BM25_projection	2000	50	7	1887	0.9435	218.0	2	9	14	0	1	1.0	1.0	1
django__django-11734	BM25_projection	2000	50	11	1945	0.9725	188.27272727272728	2	0	8	0	1	0.25	0.2	1
django__django-11740	BM25_projection	2000	50	2	1810	0.905	555.0	1	0	4	0	0	0.0	0.0	0
django__django-11749	BM25_projection	2000	50	6	1669	0.8345	316.8333333333333	3	0	3	0	1	1.0	1.0	1
django__django-11790	BM25_projection	2000	50	18	1983	0.9915	37.0	0	0	2	0	1	0.0	0.0	0
django__django-11815	BM25_projection	2000	50	11	1884	0.942	134.1818181818182	1	0	4	0	0	0.0	0.0	0
django__django-11820	BM25_projection	2000	50	6	1827	0.9135	310.1666666666667	2	0	3	0	1	1.0	0.16666666666666666	1
django__django-11848	BM25_projection	2000	50	12	1989	0.9945	114.66666666666667	1	5	5	1	1	1.0	1.0	1
django__django-11880	BM25_projection	2000	50	8	1941	0.9705	290.375	4	0	1	0	1	0.0	0.0	0
django__django-11885	BM25_projection	2000	50	9	1993	0.9965	287.55555555555554	4	0	75	0	1	0.1111111111111111	0.16666666666666666	1
django__django-11951	BM25_projection	2000	50	7	1867	0.9335	319.2857142857143	3	2	2	1	1	1.0	0.3333333333333333	1
django__django-11964	BM25_projection	2000	50	6	1986	0.993	185.83333333333334	1	0	2	0	0	0.0	0.0	0
django__django-11999	BM25_projection	2000	50	9	1951	0.9755	288.77777777777777	3	0	3	0	1	0.0	0.0	0
django__django-12039	BM25_projection	2000	50	10	1895	0.9475	111.1	0	0	7	0	1	0.0	0.0	0
django__django-12050	BM25_projection	2000	50	7	1980	0.99	169.85714285714286	0	16	16	1	1	1.0	1.0	1
django__django-12125	BM25_projection	2000	50	5	1696	0.848	608.0	5	0	2	0	0	0.0	0.0	0
django__django-12143	BM25_projection	2000	50	7	1931	0.9655	537.1428571428571	4	0	2	0	1	0.0	0.0	0
django__django-12155	BM25_projection	2000	50	12	1966	0.983	128.66666666666666	1	15	21	0	1	0.6666666666666666	1.0	1
django__django-12193	BM25_projection	2000	50	11	1945	0.9725	103.0	1	0	4	0	1	0.0	0.0	0
django__django-12209	BM25_projection	2000	50	7	1769	0.8845	265.0	2	0	1	0	0	0.0	0.0	0
django__django-12262	BM25_projection	2000	50	7	1834	0.917	248.14285714285714	2	2	2	1	1	1.0	1.0	1
django__django-12273	BM25_projection	2000	50	13	1956	0.978	101.07692307692308	1	0	1	0	1	0.0	0.0	0
django__django-12276	BM25_projection	2000	50	11	1953	0.9765	131.0909090909091	1	2	4	0	1	1.0	0.3333333333333333	1
django__django-12304	BM25_projection	2000	50	4	1899	0.9495	437.0	2	0	1	0	0	0.0	0.0	0
django__django-12308	BM25_projection	2000	50	8	1901	0.9505	506.5	6	0	1	0	0	0.0	0.0	0
django__django-12325	BM25_projection	2000	50	6	1931	0.9655	374.1666666666667	2	0	8	0	1	0.0	0.0	0
django__django-12406	BM25_projection	2000	50	12	1969	0.9845	62.25	1	0	11	0	0	0.0	0.0	0
django__django-12419	BM25_projection	2000	50	10	1942	0.971	125.7	1	0	2	0	0	0.0	0.0	0
django__django-12663	BM25_projection	2000	50	7	1957	0.9785	498.2857142857143	4	0	2	0	1	0.0	0.0	0
django__django-12708	BM25_projection	2000	50	9	1917	0.9585	148.77777777777777	1	0	2	0	1	0.0	0.0	0
django__django-12713	BM25_projection	2000	50	7	1960	0.98	612.8571428571429	5	0	12	0	0	0.0	0.0	0
django__django-12741	BM25_projection	2000	50	12	1790	0.895	86.91666666666667	0	4	6	0	1	0.5	1.0	1
django__django-12754	BM25_projection	2000	50	7	1752	0.876	442.2857142857143	3	0	1	0	0	0.0	0.0	0
django__django-12774	BM25_projection	2000	50	7	1922	0.961	287.85714285714283	4	0	2	0	1	0.0	0.0	0
django__django-12858	BM25_projection	2000	50	6	1885	0.9425	402.0	4	0	2	0	1	1.0	0.5	1
django__django-12965	BM25_projection	2000	50	12	1930	0.965	192.16666666666666	2	0	1	0	0	0.0	0.0	0
django__django-13012	BM25_projection	2000	50	18	1934	0.967	50.22222222222222	0	1	1	1	1	1.0	0.16666666666666666	1
django__django-13023	BM25_projection	2000	50	13	1916	0.958	90.38461538461539	0	2	2	1	1	1.0	0.5	1
django__django-13028	BM25_projection	2000	50	9	1902	0.951	352.77777777777777	2	2	2	1	1	1.0	1.0	1
django__django-13033	BM25_projection	2000	50	10	1761	0.8805	172.9	3	0	2	0	0	0.0	0.0	0
django__django-13089	BM25_projection	2000	50	11	1963	0.9815	158.72727272727272	1	3	4	0	1	1.0	0.5	1
django__django-13109	BM25_projection	2000	50	2	1869	0.9345	539.5	1	0	2	0	0	0.0	0.0	0
django__django-13112	BM25_projection	2000	50	2	1790	0.895	554.5	2	0	2	0	0	0.0	0.0	0
django__django-13121	BM25_projection	2000	50	9	1705	0.8525	169.88888888888889	2	10	52	0	1	0.36363636363636365	0.5	1
django__django-13128	BM25_projection	2000	50	14	1904	0.952	101.64285714285714	2	6	22	0	1	0.3333333333333333	0.1	1
django__django-13158	BM25_projection	2000	50	12	1930	0.965	121.16666666666667	1	0	2	0	1	0.0	0.0	0
django__django-13195	BM25_projection	2000	50	8	1808	0.904	169.25	1	8	10	0	1	0.6666666666666666	0.5	1
django__django-13212	BM25_projection	2000	50	16	1978	0.989	92.0	2	25	43	0	1	0.8181818181818182	0.5	1
django__django-13279	BM25_projection	2000	50	11	1885	0.9425	162.72727272727272	1	0	2	0	0	0.0	0.0	0
django__django-13297	BM25_projection	2000	50	9	1765	0.8825	150.44444444444446	1	0	5	0	0	0.0	0.0	0
django__django-13315	BM25_projection	2000	50	8	1926	0.963	208.0	1	3	4	0	1	1.0	0.5	1
django__django-13343	BM25_projection	2000	50	12	1946	0.973	134.0	1	0	3	0	0	0.0	0.0	0
django__django-13344	BM25_projection	2000	50	11	1877	0.9385	181.63636363636363	1	0	30	0	0	0.0	0.0	0
django__django-13346	BM25_projection	2000	50	8	1737	0.8685	150.5	0	0	2	0	0	0.0	0.0	0
django__django-13363	BM25_projection	2000	50	12	1928	0.964	96.91666666666667	1	0	4	0	0	0.0	0.0	0
django__django-13401	BM25_projection	2000	50	8	1889	0.9445	292.375	3	0	7	0	1	0.0	0.0	0
django__django-13406	BM25_projection	2000	50	12	1924	0.962	118.83333333333333	1	0	1	0	1	0.0	0.0	0
django__django-13410	BM25_projection	2000	50	12	1975	0.9875	173.0	3	0	6	0	1	1.0	1.0	1
django__django-13417	BM25_projection	2000	50	12	1948	0.974	126.91666666666667	2	2	2	1	1	1.0	0.5	1
django__django-13449	BM25_projection	2000	50	4	1984	0.992	477.75	2	0	3	0	0	0.0	0.0	0
django__django-13512	BM25_projection	2000	50	10	1987	0.9935	136.8	1	2	5	0	1	0.5	1.0	1
django__django-13513	BM25_projection	2000	50	11	1938	0.969	190.9090909090909	3	21	27	0	1	1.0	0.25	1
django__django-13516	BM25_projection	2000	50	8	1916	0.958	510.5	2	0	1	0	1	0.0	0.0	0
django__django-13551	BM25_projection	2000	50	13	1860	0.93	92.84615384615384	1	5	6	0	1	1.0	1.0	1
django__django-13568	BM25_projection	2000	50	7	1760	0.88	178.85714285714286	2	0	2	0	0	0.0	0.0	0
django__django-13569	BM25_projection	2000	50	7	1852	0.926	412.0	3	0	1	0	0	0.0	0.0	0
django__django-13590	BM25_projection	2000	50	9	1871	0.9355	164.44444444444446	1	0	3	0	1	0.0	0.0	0
django__django-13658	BM25_projection	2000	50	10	1933	0.9665	148.3	1	0	2	0	1	0.0	0.0	0
django__django-13670	BM25_projection	2000	50	17	1929	0.9645	44.411764705882355	0	2	3	0	1	1.0	0.1111111111111111	1
django__django-13741	BM25_projection	2000	50	16	1993	0.9965	48.75	0	7	15	0	1	0.8	0.5	1
django__django-13786	BM25_projection	2000	50	13	1958	0.979	206.30769230769232	3	0	3	0	1	0.0	0.0	0
django__django-13794	BM25_projection	2000	50	10	1909	0.9545	107.5	0	0	1	0	0	0.0	0.0	0
django__django-13807	BM25_projection	2000	50	7	1888	0.944	466.14285714285717	4	2	6	0	1	1.0	1.0	1
django__django-13809	BM25_projection	2000	50	18	1866	0.933	53.22222222222222	1	0	4	0	1	0.0	0.0	0
django__django-13810	BM25_projection	2000	50	8	1818	0.909	163.75	0	5	5	1	1	1.0	1.0	1
django__django-13820	BM25_projection	2000	50	8	1766	0.883	373.875	5	0	6	0	1	1.0	0.25	1
django__django-13821	BM25_projection	2000	50	11	1825	0.9125	121.81818181818181	1	2	3	0	1	1.0	1.0	1
django__django-13837	BM25_projection	2000	50	9	1831	0.9155	223.88888888888889	3	2	7	0	1	1.0	0.5	1
django__django-13925	BM25_projection	2000	50	9	1900	0.95	272.44444444444446	3	0	1	0	1	0.0	0.0	0
django__django-13933	BM25_projection	2000	50	11	1864	0.932	97.18181818181819	1	2	2	1	1	1.0	0.16666666666666666	1
django__django-13964	BM25_projection	2000	50	9	1985	0.9925	376.8888888888889	5	0	2	0	1	0.0	0.0	0
django__django-14007	BM25_projection	2000	50	9	1738	0.869	161.11111111111111	1	0	9	0	0	0.0	0.0	0
django__django-14011	BM25_projection	2000	50	10	1850	0.925	188.0	2	0	3	0	1	0.0	0.0	0
django__django-14017	BM25_projection	2000	50	14	1934	0.967	148.14285714285714	2	0	2	0	0	0.0	0.0	0
django__django-14034	BM25_projection	2000	50	9	1892	0.946	157.66666666666666	1	0	4	0	0	0.0	0.0	0
django__django-14053	BM25_projection	2000	50	9	1961	0.9805	288.55555555555554	2	8	8	1	1	1.0	1.0	1
django__django-14089	BM25_projection	2000	50	9	1844	0.922	222.33333333333334	2	0	1	0	0	0.0	0.0	0
django__django-14122	BM25_projection	2000	50	10	1938	0.969	88.7	0	0	6	0	0	0.0	0.0	0
django__django-14140	BM25_projection	2000	50	12	1916	0.958	186.58333333333334	1	0	9	0	0	0.0	0.0	0
django__django-14155	BM25_projection	2000	50	21	1995	0.9975	39.666666666666664	0	0	4	0	0	0.0	0.0	0
django__django-14170	BM25_projection	2000	50	7	1998	0.999	488.2857142857143	3	0	17	0	0	0.0	0.0	0
django__django-14238	BM25_projection	2000	50	11	1903	0.9515	159.27272727272728	4	1	2	0	1	1.0	0.3333333333333333	1
django__django-14311	BM25_projection	2000	50	10	1885	0.9425	247.8	2	0	3	0	1	0.0	0.0	0
django__django-14315	BM25_projection	2000	50	13	1859	0.9295	89.76923076923077	1	3	5	0	1	0.5	1.0	1
django__django-14349	BM25_projection	2000	50	13	1846	0.923	103.0	1	0	2	0	0	0.0	0.0	0
django__django-14351	BM25_projection	2000	50	7	1984	0.992	427.14285714285717	2	0	1	0	0	0.0	0.0	0
django__django-14373	BM25_projection	2000	50	13	1947	0.9735	66.0	0	0	3	0	1	0.0	0.0	0
django__django-14376	BM25_projection	2000	50	12	1881	0.9405	117.75	2	0	9	0	1	0.5	0.14285714285714285	1
django__django-14404	BM25_projection	2000	50	10	1830	0.915	179.2	3	5	5	1	1	1.0	1.0	1
django__django-14434	BM25_projection	2000	50	15	1962	0.981	82.13333333333334	2	4	8	0	1	1.0	0.5	1
django__django-14493	BM25_projection	2000	50	13	1878	0.939	165.69230769230768	3	0	1	0	1	1.0	0.3333333333333333	1
django__django-14500	BM25_projection	2000	50	8	1918	0.959	279.375	2	5	5	1	1	1.0	0.25	1
django__django-14534	BM25_projection	2000	50	13	1932	0.966	77.38461538461539	0	1	2	0	1	1.0	0.16666666666666666	1
django__django-14539	BM25_projection	2000	50	11	1904	0.952	195.36363636363637	2	0	3	0	1	1.0	0.25	1
django__django-14559	BM25_projection	2000	50	9	1985	0.9925	196.44444444444446	2	2	5	0	1	1.0	0.5	1
django__django-14580	BM25_projection	2000	50	4	1804	0.902	220.25	2	0	2	0	0	0.0	0.0	0
django__django-14608	BM25_projection	2000	50	9	1944	0.972	236.44444444444446	3	0	4	0	1	0.0	0.0	0
django__django-14631	BM25_projection	2000	50	10	1989	0.9945	175.8	2	9	43	0	1	0.125	0.25	1
django__django-14672	BM25_projection	2000	50	14	1950	0.975	422.7857142857143	2	2	2	1	1	1.0	0.14285714285714285	1
django__django-14725	BM25_projection	2000	50	13	1943	0.9715	100.92307692307692	1	0	8	0	0	0.0	0.0	0
django__django-14752	BM25_projection	2000	50	11	1725	0.8625	108.54545454545455	1	5	5	1	1	1.0	1.0	1
django__django-14765	BM25_projection	2000	50	10	1935	0.9675	196.2	2	0	5	0	0	0.0	0.0	0
django__django-14771	BM25_projection	2000	50	13	1880	0.94	75.84615384615384	0	0	1	0	1	0.0	0.0	0
django__django-14787	BM25_projection	2000	50	12	1970	0.985	181.41666666666666	5	0	2	0	1	1.0	0.5	1
django__django-14792	BM25_projection	2000	50	12	1977	0.9885	128.66666666666666	2	0	3	0	0	0.0	0.0	0
django__django-14855	BM25_projection	2000	50	9	1845	0.9225	223.0	4	2	2	1	1	1.0	0.5	1
django__django-14915	BM25_projection	2000	50	13	1872	0.936	92.6923076923077	1	1	1	1	1	1.0	1.0	1
django__django-14999	BM25_projection	2000	50	12	1849	0.9245	188.08333333333334	1	0	7	0	0	0.0	0.0	0
django__django-15022	BM25_projection	2000	50	6	1827	0.9135	564.6666666666666	3	0	3	0	0	0.0	0.0	0
django__django-15037	BM25_projection	2000	50	15	1956	0.978	82.2	1	0	5	0	0	0.0	0.0	0
django__django-15098	BM25_projection	2000	50	10	1914	0.957	160.7	2	0	2	0	1	0.0	0.0	0
django__django-15103	BM25_projection	2000	50	9	1891	0.9455	398.55555555555554	4	10	11	0	1	1.0	1.0	1
django__django-15104	BM25_projection	2000	50	9	1943	0.9715	257.77777777777777	3	2	2	1	1	1.0	0.16666666666666666	1
django__django-15127	BM25_projection	2000	50	13	1932	0.966	113.38461538461539	1	0	3	0	0	0.0	0.0	0
django__django-15128	BM25_projection	2000	50	8	1803	0.9015	189.0	1	1	16	0	1	0.3333333333333333	1.0	1
django__django-15161	BM25_projection	2000	50	10	1917	0.9585	241.7	3	0	6	0	0	0.0	0.0	0
django__django-15252	BM25_projection	2000	50	10	1920	0.96	161.7	1	3	3	1	1	1.0	1.0	1
django__django-15268	BM25_projection	2000	50	10	1984	0.992	168.9	2	0	4	0	0	0.0	0.0	0
django__django-15277	BM25_projection	2000	50	14	1993	0.9965	81.78571428571429	0	0	2	0	1	0.0	0.0	0
django__django-15278	BM25_projection	2000	50	8	1982	0.991	198.625	3	0	5	0	0	0.0	0.0	0
django__django-15280	BM25_projection	2000	50	10	1970	0.985	217.8	3	0	3	0	1	0.0	0.0	0
django__django-15315	BM25_projection	2000	50	11	1709	0.8545	172.8181818181818	3	5	6	0	1	1.0	0.5	1
django__django-15368	BM25_projection	2000	50	7	1929	0.9645	327.85714285714283	2	2	4	0	1	1.0	1.0	1
django__django-15375	BM25_projection	2000	50	7	1790	0.895	261.14285714285717	3	0	2	0	0	0.0	0.0	0
django__django-15380	BM25_projection	2000	50	9	1998	0.999	298.8888888888889	4	2	2	1	1	1.0	0.16666666666666666	1
django__django-15382	BM25_projection	2000	50	13	1870	0.935	97.84615384615384	1	8	8	1	1	1.0	0.14285714285714285	1
django__django-15467	BM25_projection	2000	50	8	1920	0.96	215.625	2	0	2	0	0	0.0	0.0	0
django__django-15499	BM25_projection	2000	50	13	1947	0.9735	61.07692307692308	0	0	1	0	1	0.0	0.0	0
django__django-15503	BM25_projection	2000	50	11	1910	0.955	171.63636363636363	1	0	16	0	0	0.0	0.0	0
django__django-15525	BM25_projection	2000	50	2	1913	0.9565	794.0	2	0	2	0	0	0.0	0.0	0
django__django-15554	BM25_projection	2000	50	11	1856	0.928	133.36363636363637	2	1	19	0	1	0.25	1.0	1
django__django-15561	BM25_projection	2000	50	5	1843	0.9215	1090.0	3	0	18	0	1	0.0	0.0	0
django__django-15563	BM25_projection	2000	50	6	1777	0.8885	485.8333333333333	6	0	8	0	0	0.0	0.0	0
django__django-15569	BM25_projection	2000	50	13	1806	0.903	144.3846153846154	2	0	1	0	1	1.0	0.5	1
django__django-15572	BM25_projection	2000	50	7	1351	0.6755	264.57142857142856	2	0	4	0	0	0.0	0.0	0
django__django-15629	BM25_projection	2000	50	9	1924	0.962	205.44444444444446	2	0	14	0	0	0.0	0.0	0
django__django-15695	BM25_projection	2000	50	11	1881	0.9405	143.1818181818182	2	1	1	1	1	1.0	0.3333333333333333	1
django__django-15731	BM25_projection	2000	50	14	1983	0.9915	106.28571428571429	2	3	4	0	1	1.0	1.0	1
django__django-15732	BM25_projection	2000	50	7	1956	0.978	308.42857142857144	3	2	9	0	1	0.75	0.3333333333333333	1
django__django-15741	BM25_projection	2000	50	10	1931	0.9655	146.8	1	0	1	0	1	1.0	0.5	1
django__django-15814	BM25_projection	2000	50	8	1787	0.8935	184.0	2	0	1	0	1	0.0	0.0	0
django__django-15851	BM25_projection	2000	50	7	1824	0.912	474.7142857142857	4	2	2	1	1	1.0	1.0	1
django__django-15863	BM25_projection	2000	50	5	1859	0.9295	352.2	2	0	2	0	1	1.0	0.2	1
django__django-15916	BM25_projection	2000	50	5	1864	0.932	502.6	4	2	13	0	1	0.3333333333333333	1.0	1
django__django-15930	BM25_projection	2000	50	13	1915	0.9575	157.53846153846155	2	0	1	0	1	0.0	0.0	0
django__django-15957	BM25_projection	2000	50	8	1958	0.979	284.75	2	0	11	0	0	0.0	0.0	0
django__django-15973	BM25_projection	2000	50	1	1595	0.7975	992.0	1	0	2	0	0	0.0	0.0	0
django__django-15987	BM25_projection	2000	50	9	1961	0.9805	188.0	2	2	2	1	1	1.0	0.5	1
django__django-16032	BM25_projection	2000	50	8	1785	0.8925	217.375	2	1	11	0	1	0.4	0.3333333333333333	1
django__django-16082	BM25_projection	2000	50	5	1976	0.988	260.2	1	0	1	0	1	1.0	1.0	1
django__django-16100	BM25_projection	2000	50	10	1878	0.939	147.7	1	0	10	0	1	0.0	0.0	0
django__django-16116	BM25_projection	2000	50	6	1894	0.947	576.6666666666666	3	3	5	0	1	0.5	0.2	1
django__django-16136	BM25_projection	2000	50	7	1854	0.927	452.2857142857143	4	1	2	0	1	1.0	1.0	1
django__django-16139	BM25_projection	2000	50	10	1925	0.9625	100.4	0	0	2	0	1	0.0	0.0	0
django__django-16145	BM25_projection	2000	50	11	1940	0.97	140.0	2	1	3	0	1	1.0	0.125	1
django__django-16255	BM25_projection	2000	50	14	1794	0.897	102.07142857142857	2	2	2	1	1	1.0	0.2	1
django__django-16256	BM25_projection	2000	50	8	1861	0.9305	774.125	2	4	11	0	1	0.6666666666666666	1.0	1
django__django-16263	BM25_projection	2000	50	14	1974	0.987	154.57142857142858	2	8	44	0	1	0.1111111111111111	0.07142857142857142	1
django__django-16315	BM25_projection	2000	50	6	1918	0.959	434.5	4	3	10	0	1	0.6666666666666666	1.0	1
django__django-16333	BM25_projection	2000	50	11	1894	0.947	115.0909090909091	1	1	1	1	1	1.0	0.16666666666666666	1
django__django-16429	BM25_projection	2000	50	8	1951	0.9755	257.75	2	0	1	0	1	1.0	0.2	1
django__django-16454	BM25_projection	2000	50	6	1942	0.971	779.6666666666666	4	0	2	0	1	1.0	0.5	1
django__django-16485	BM25_projection	2000	50	11	1982	0.991	192.45454545454547	2	0	2	0	1	1.0	1.0	1
django__django-16493	BM25_projection	2000	50	10	1966	0.983	171.4	1	3	3	1	1	1.0	0.25	1
django__django-16502	BM25_projection	2000	50	3	1890	0.945	350.6666666666667	1	0	5	0	0	0.0	0.0	0
django__django-16527	BM25_projection	2000	50	10	1900	0.95	195.4	2	0	2	0	0	0.0	0.0	0
django__django-16560	BM25_projection	2000	50	9	1839	0.9195	290.8888888888889	5	4	40	0	1	0.125	0.3333333333333333	1
django__django-16569	BM25_projection	2000	50	7	1822	0.911	275.2857142857143	4	2	2	1	1	1.0	1.0	1
django__django-16595	BM25_projection	2000	50	8	1928	0.964	80.125	0	4	4	1	1	1.0	1.0	1
django__django-16612	BM25_projection	2000	50	13	1962	0.981	99.84615384615384	3	2	2	1	1	1.0	1.0	1
django__django-16631	BM25_projection	2000	50	20	1994	0.997	39.95	0	0	10	0	0	0.0	0.0	0
django__django-16642	BM25_projection	2000	50	11	1946	0.973	127.9090909090909	3	0	2	0	0	0.0	0.0	0
django__django-16661	BM25_projection	2000	50	6	1909	0.9545	248.33333333333334	2	5	5	1	1	1.0	1.0	1
django__django-16662	BM25_projection	2000	50	10	1827	0.9135	141.0	2	0	2	0	0	0.0	0.0	0
django__django-16667	BM25_projection	2000	50	14	1991	0.9955	101.71428571428571	2	1	1	1	1	1.0	0.09090909090909091	1
django__django-16801	BM25_projection	2000	50	10	1772	0.886	161.2	2	3	7	0	1	1.0	0.5	1
django__django-16819	BM25_projection	2000	50	15	1962	0.981	61.86666666666667	0	0	1	0	1	1.0	0.3333333333333333	1
django__django-16877	BM25_projection	2000	50	12	1906	0.953	117.16666666666667	1	0	1	0	1	1.0	0.3333333333333333	1
django__django-16899	BM25_projection	2000	50	8	1947	0.9735	196.125	1	4	4	1	1	1.0	1.0	1
django__django-16901	BM25_projection	2000	50	5	1868	0.934	726.6	3	0	4	0	0	0.0	0.0	0
